#{"t_start": 1649181325.1262696, "env_id": "HopperBulletEnv-v0"}
r,l,t
341.000892,152,3.843723
354.481102,155,4.40823
367.894846,163,4.992787
344.22188,157,5.572554
336.321921,154,6.133514
367.175348,159,6.710704
334.328829,151,7.268027
367.751749,160,7.863921
353.615298,165,8.470751
371.15875,163,9.040108
368.492959,162,9.509278
251.4817,135,9.899292
352.919714,156,10.354202
363.048151,165,10.829707
191.213216,106,11.135552
345.596496,157,11.593277
339.7549,153,12.044042
222.721314,116,12.382805
292.992482,151,12.897753
305.175793,150,13.429814
324.571079,147,13.969402
370.747202,159,14.537742
356.411277,157,15.110723
362.568436,159,15.696289
350.459479,155,16.26494
323.41347,146,16.848888
349.090791,162,17.495921
199.245129,108,17.906346
357.204344,155,18.468328
374.903953,171,19.089669
341.581658,153,19.647204
355.318781,159,20.234656
337.693541,151,20.793161
330.684507,153,21.359816
339.818587,157,21.944627
373.314713,163,22.541217
337.027766,151,23.101905
350.941661,159,23.685795
346.418546,164,24.288694
372.028621,162,24.896599
263.596253,126,25.359907
358.201004,159,25.941096
326.361083,150,26.489282
347.837829,158,27.062313
357.363344,169,27.677345
350.153777,156,28.256705
349.633599,157,28.833455
346.834949,157,29.416133
344.84579,157,29.995176
355.335356,160,30.584181
251.026682,122,31.026101
360.105749,159,31.620158
348.48263,157,32.190263
354.069087,162,32.774546
349.738683,156,33.334533
344.785491,151,33.885343
281.464825,135,34.386158
340.505844,150,34.939383
327.705603,154,35.505735
321.136603,149,36.041797
346.710989,157,36.611807
300.470326,148,37.156007
354.808524,155,37.726323
349.409974,156,38.30025
336.162984,152,38.853163
359.291533,161,39.434218
338.818277,150,39.979014
244.317133,119,40.423893
297.30566,133,40.911533
290.953065,135,41.422186
342.905033,153,41.988253
334.888628,150,42.534253
343.871557,153,43.103428
287.964038,138,43.611532
331.330442,150,44.148057
331.439066,148,44.666015
218.946358,107,45.081098
355.330791,160,45.680724
341.648967,155,46.244682
285.540606,144,46.788022
338.114201,149,47.332766
353.835366,163,47.91475
331.328211,152,48.467791
369.881102,169,49.085542
369.537026,160,49.684944
292.158711,151,50.244302
367.70309,160,50.828909
349.117103,164,51.437943
289.086994,137,51.938954
368.659129,159,52.519797
361.505912,158,53.092848
220.182455,108,53.492214
343.855478,157,54.084244
313.291058,151,54.636194
349.875317,157,55.217662
363.370912,166,55.827734
343.370545,151,56.388538
333.408646,152,56.951596
344.740219,151,57.49759
357.297573,157,58.082128
331.106503,147,58.618976
284.969322,136,59.117467
343.884194,152,59.677012
371.027958,167,60.302743
291.812806,145,60.842367
348.744197,157,61.418114
367.075786,166,62.024553
272.686,136,62.517591
338.781476,150,63.070414
354.019102,162,63.658993
349.758604,156,64.222792
362.87312,156,64.798422
271.930727,134,65.286592
347.842011,154,65.854887
336.902606,153,66.422155
347.682872,154,66.982979
343.506658,156,67.552397
349.556732,158,68.147409
293.696115,144,68.678896
322.949686,148,69.21105
326.590265,151,69.759631
325.278409,148,70.296091
333.63381,154,70.857994
346.644456,156,71.434862
355.738993,157,72.024147
360.962864,164,72.624295
345.727627,153,73.181546
356.709782,165,73.781304
364.675088,162,74.374231
360.292454,159,74.951855
324.549202,150,75.496989
296.956324,148,76.045086
287.735082,139,76.557763
371.695331,162,77.147215
346.370957,156,77.706421
285.739788,137,78.203684
343.993799,155,78.756561
357.277821,158,79.35207
357.191538,163,79.948117
256.656253,124,80.39344
245.413182,117,80.831273
320.159717,147,81.35676
365.526088,162,81.938863
347.502312,154,82.500391
323.941422,146,83.067432
347.909126,155,83.639451
278.56292,139,84.14959
368.550534,160,84.735705
348.898677,158,85.311589
369.004561,163,85.908095
330.938314,148,86.463619
359.932336,161,87.044003
319.354486,146,87.579329
367.74994,170,88.195291
350.139539,155,88.757517
344.576447,151,89.39206
340.087357,153,89.966294
348.939156,160,90.553797
332.382634,153,91.096852
359.654069,157,91.68096
346.872733,156,92.251118
332.747498,169,92.858421
348.285517,157,93.43341
344.015924,155,93.997552
368.934111,160,94.589178
366.804511,163,95.174732
347.51236,152,95.741882
334.974081,150,96.284582
365.32083,162,96.876914
354.514555,157,97.45129
368.962501,160,98.024843
222.130084,109,98.430244
359.079925,164,99.027767
339.987184,151,99.590051
362.219593,163,100.192382
367.884439,159,100.7658
347.608933,155,101.341377
339.858803,153,101.916663
358.831907,165,102.509941
329.319525,149,103.050705
328.577305,148,103.597654
227.041684,110,104.010631
342.994084,154,104.581834
353.987346,155,105.144384
363.87561,165,105.755357
336.268157,163,106.34532
354.905685,162,106.945783
365.057739,157,107.520162
340.844622,154,108.07983
342.965635,152,108.634574
366.788914,160,109.224554
360.318738,166,109.838151
356.116618,158,110.417618
345.597031,159,110.999182
324.405964,150,111.564426
301.16545,154,112.128583
334.183118,155,112.689536
361.118399,158,113.253425
341.009293,150,113.806102
275.30206,132,114.265021
315.185672,160,114.857497
335.034494,149,115.404655
352.858286,165,116.003206
361.539025,158,116.574454
344.720988,156,117.144838
325.7582,159,117.769695
332.913011,151,118.330458
344.999449,154,118.913164
339.511976,150,119.46357
351.215538,156,120.101118
323.505518,149,120.654069
358.653201,159,121.279088
312.937918,163,121.888644
349.415448,160,122.471492
340.016013,155,123.071445
269.94827,129,123.593524
350.185454,159,124.263773
264.097428,131,124.75201
298.732206,149,125.343905
360.259151,159,125.979122
343.401517,163,126.652612
368.800245,159,127.255543
344.109067,154,127.86985
345.618056,160,128.464288
348.765304,160,129.072802
355.607741,160,129.659719
343.801161,163,130.295528
358.914622,159,130.893569
350.024022,160,131.507535
362.543812,157,132.111003
366.6856,159,132.70247
