r,l,t
3267.357221,1000,8.669416
3242.657026,1000,15.544889
3166.903104,1000,22.526765
3222.17094,1000,28.865925
3149.221265,1000,35.822513
3041.076765,1000,42.705012
3095.053005,1000,49.47231
3206.393556,1000,56.296008
3171.725777,1000,62.912603
3231.562,1000,69.705563
3274.921284,1000,76.619081
3268.668171,1000,83.362954
3117.937571,1000,90.181403
3236.167989,1000,96.962216
3243.690591,1000,103.827565
3263.096562,1000,110.694634
3199.471608,1000,117.573109
3282.538699,1000,124.245006
3252.753428,1000,130.8134
3270.510621,1000,137.563172
3235.260945,1000,144.294841
3200.928303,1000,151.013215
3284.674575,1000,157.869415
3282.540464,1000,164.553371
3201.144484,1000,171.37725
3171.04747,1000,178.303243
3256.944247,1000,185.106569
3191.261049,1000,191.726086
3202.236943,1000,198.425449
3238.650719,1000,205.243248
3259.874133,1000,211.992406
3175.628784,1000,218.839239
3170.41097,1000,225.320254
3211.331188,1000,231.993589
3275.909097,1000,238.765274
3281.59415,1000,245.567352
3186.623444,1000,252.429192
3151.268482,1000,259.164277
3253.402829,1000,265.811773
3248.37394,1000,272.595202
3266.311936,1000,279.334768
3207.076478,1000,286.149864
3132.977269,1000,292.90427
3154.816777,1000,299.68209
3261.070846,1000,306.474675
3252.045444,1000,313.308071
3192.505635,1000,320.184701
3231.182654,1000,326.836252
3202.46822,1000,333.525051
3207.302422,1000,340.340301
3261.02601,1000,347.160377
3201.077265,1000,353.920718
3148.238913,1000,360.512838
3213.635167,1000,367.254602
3224.504273,1000,374.119671
3256.708262,1000,380.934754
3227.829599,1000,387.75206
3194.290941,1000,394.384527
3172.340407,1000,401.209749
3205.749255,1000,407.967393
3216.65716,1000,414.738587
3141.945382,1000,421.580128
3211.119763,1000,428.098719
3195.207886,1000,435.027421
3177.794696,1000,441.982067
3271.078044,1000,448.848634
3179.481218,1000,455.44503
3241.647739,1000,461.984399
3250.044822,1000,468.807847
3198.112555,1000,475.667404
3161.081276,1000,482.490633
3255.123037,1000,489.282629
3235.042584,1000,495.851735
3201.620032,1000,502.672374
3171.533918,1000,509.428438
