#{"t_start": 1653313375.8821154, "env_id": "AntBulletEnv-v0"}
r,l,t
3006.727679,1000,10.195998
2992.333106,1000,16.929514
2999.38842,1000,23.523735
3001.066711,1000,30.082492
3011.232074,1000,36.764338
2995.889401,1000,43.395503
3015.635483,1000,49.999848
2989.356318,1000,56.650372
3004.01648,1000,63.111056
3030.632344,1000,69.771251
3012.153468,1000,76.455794
3028.22747,1000,82.989861
2971.07925,1000,89.601464
2957.912131,1000,96.181041
2974.017537,1000,102.870021
2960.986986,1000,109.537807
2971.136488,1000,116.205182
3016.254502,1000,122.894126
2978.729557,1000,129.188528
2943.904989,1000,135.847773
3021.696088,1000,142.123815
2950.219009,1000,148.16245
2971.753399,1000,154.392336
2958.917457,1000,159.728686
2932.525934,1000,165.090311
2948.06852,1000,170.219752
3009.353379,1000,176.443631
3058.041286,1000,182.740758
3023.1898,1000,188.517967
3012.032238,1000,193.853764
2977.998308,1000,199.120481
3012.760537,1000,203.668127
2969.430479,1000,210.416708
3000.912702,1000,217.080554
2960.488116,1000,223.63771
2927.242493,1000,230.154176
3011.092904,1000,236.622104
2953.441,1000,243.366581
3022.437424,1000,250.040056
3001.964833,1000,256.657159
2980.271561,1000,263.218096
2957.344425,1000,270.020833
2984.967402,1000,276.749114
2975.140912,1000,283.27554
2977.211364,1000,290.061149
3044.535447,1000,296.640608
3027.489725,1000,303.293192
3023.819371,1000,310.134894
3026.011924,1000,316.925924
3033.152211,1000,323.51466
2941.476699,1000,330.042337
2997.899366,1000,336.705239
2971.122114,1000,343.271422
3032.748945,1000,349.823208
3021.432554,1000,356.486408
2954.408687,1000,362.958667
3002.267634,1000,369.560778
2992.154529,1000,376.262722
3007.102423,1000,382.949807
2930.399666,1000,389.665771
2998.309264,1000,396.045174
2944.164828,1000,402.695046
3005.099031,1000,409.445148
3012.394114,1000,416.131962
2991.398628,1000,422.737752
2995.570339,1000,429.150365
2997.876557,1000,435.753897
2967.16194,1000,442.511028
3008.783786,1000,449.216006
2969.416563,1000,455.935724
3018.251619,1000,462.352726
2975.492883,1000,468.987644
2961.816431,1000,475.738191
2958.543003,1000,482.539138
2971.854955,1000,489.269871
2960.602791,1000,495.723487
3004.430987,1000,502.402084
2948.388341,1000,509.13513
2996.437054,1000,515.857963
2970.510534,1000,522.51185
2979.517681,1000,529.047125
2969.821497,1000,535.391348
2984.328582,1000,542.196167
3006.051941,1000,548.77849
3027.893031,1000,555.498952
2985.101996,1000,562.017653
3001.707504,1000,568.678506
2998.168713,1000,575.478456
2997.005883,1000,582.14789
2974.986307,1000,588.799559
2969.512553,1000,595.289773
2963.747771,1000,602.104534
2979.525453,1000,608.774595
2970.559375,1000,615.529062
2975.467782,1000,622.352489
3022.777709,1000,628.687846
3030.27303,1000,635.492544
2978.328687,1000,642.261702
3000.748041,1000,649.071389
2972.464622,1000,655.806351
2986.83993,1000,662.28115
3018.897359,1000,669.002836
3009.393673,1000,675.745595
3036.439907,1000,682.514268
