#{"t_start": 1653318535.8678546, "env_id": "HopperBulletEnv-v0"}
r,l,t
2366.982909,982,5.393746
2447.026719,1000,8.254393
2418.278148,984,11.032112
2433.949832,1000,13.909881
2460.948672,1000,16.55641
2431.398219,1000,19.175294
2414.846306,1000,21.784898
2444.161473,1000,24.42733
2422.407862,1000,27.258902
2435.457371,1000,30.112586
2446.204185,1000,32.9553
2459.240219,1000,35.818464
2420.601337,1000,38.686934
2328.23599,953,41.39586
2435.465334,1000,44.225558
2167.116583,895,46.785033
2442.057733,1000,49.630338
2334.173761,974,52.386266
2392.127092,994,55.199057
2448.610066,1000,58.00779
2449.102633,1000,60.856874
2460.776982,1000,63.698666
2429.370747,1000,66.547987
2399.077064,1000,69.363157
2448.561077,1000,72.22253
2410.768209,999,75.036756
2449.941554,1000,77.896043
2432.184731,1000,80.750509
2438.923872,1000,83.587987
2329.534247,951,86.288198
2427.906036,1000,89.109567
2459.952296,1000,91.985802
2422.100845,1000,94.988028
2392.481948,980,97.909888
2460.631561,1000,101.226753
2298.229008,951,103.9325
2454.794376,1000,106.765592
2396.778259,981,109.578882
2459.536571,1000,112.446784
2415.320488,991,115.2684
2427.930281,1000,118.100595
2435.629283,1000,120.936923
2452.810147,1000,123.760346
2449.782545,1000,126.583903
2464.061278,1000,129.426791
2447.565406,1000,132.266473
2371.360376,1000,135.078915
2438.489299,1000,137.905812
2313.31582,947,140.585882
2366.610102,971,143.362985
2456.486821,1000,146.179359
2424.789043,1000,149.024582
2445.103152,1000,151.857294
2442.5236,1000,154.700029
2419.664595,1000,157.553035
2458.239074,1000,160.382869
2432.968492,1000,163.213793
2430.956586,1000,166.052786
2435.54536,1000,168.914186
2429.433662,1000,171.756328
2451.944951,1000,174.589468
2386.46239,975,177.340433
2405.108114,1000,180.186698
2439.826582,1000,183.024853
2420.000481,1000,185.874813
2308.540285,951,188.586614
2435.410975,1000,191.460426
2395.291573,973,194.239792
2196.567895,899,196.790693
2429.662387,1000,199.632858
2248.810585,927,202.26665
2443.028974,1000,205.084381
2445.695686,1000,207.905275
2449.188792,1000,210.751827
2448.730928,1000,213.609279
2436.442681,1000,216.45647
2444.122851,1000,219.265263
2439.057073,1000,222.108377
1841.657611,760,224.257625
2465.566356,1000,227.072091
2457.08071,1000,229.893701
2441.198441,1000,232.758309
2414.312333,1000,235.573579
2176.502041,891,238.125102
2450.117559,1000,240.976236
2434.969217,1000,243.822985
2452.121418,1000,246.632626
2428.465948,1000,249.465999
2447.633284,1000,252.304189
2445.144707,1000,255.140196
2447.458212,1000,257.968207
2441.335064,1000,260.814596
2439.919947,1000,263.627529
2436.048824,1000,266.491325
2395.225934,971,269.227406
2419.873397,1000,272.060926
2403.625696,1000,274.918131
2435.511491,1000,277.771155
2447.930261,1000,280.624645
2444.697106,1000,283.459616
2448.514017,1000,286.296438
2427.553691,1000,289.106025
2397.078109,985,291.930484
2450.495695,1000,294.756186
2450.860227,1000,297.584727
2433.161518,1000,300.394661
2405.338364,1000,303.202114
2432.013066,1000,306.021389
2439.8114,1000,308.859899
