r,l,t
473.58239,1000,3.792896
507.305926,1000,5.877976
510.929227,1000,7.966506
525.363493,1000,10.041658
472.773943,1000,12.124927
497.157722,1000,14.199676
395.118815,1000,16.293608
81.913811,180,16.669797
219.313969,476,17.66844
503.423205,1000,19.751726
462.523274,1000,21.833393
273.538268,608,29.505352
503.968212,1000,52.60441
204.201559,465,63.332536
22.928053,63,64.785518
121.54336,266,70.924931
478.551537,1000,94.032135
4.710217,20,94.488374
2.775724,20,94.950393
2.797702,20,95.410412
1.794841,20,95.870716
185.633671,380,104.654705
2.386428,20,105.123768
461.236633,1000,128.154882
282.328551,1000,151.264512
-20.23799,116,153.939635
522.261862,1000,177.0565
6.160574,24,177.606845
187.705726,867,197.742489
68.430075,170,201.675899
463.752832,1000,224.8161
447.928041,1000,247.955828
427.764596,1000,288.432694
425.106888,1000,311.608567
533.234575,1000,334.728082
351.391313,1000,357.892839
364.473264,1000,381.056915
103.872267,270,387.297406
425.238374,1000,410.476127
161.269043,654,425.624475
118.388249,416,435.276483
6.940936,40,436.201181
256.61726,1000,459.348303
171.866645,354,467.520677
414.60947,1000,490.646225
42.22899,130,493.646635
207.408442,344,501.6173
532.797302,1000,539.454768
638.432173,1000,562.55499
443.674342,1000,585.654061
423.391515,1000,608.818078
7.684064,167,612.680451
450.354445,1000,635.808433
489.659022,1000,658.972675
273.008992,1000,682.165917
343.883655,860,702.124198
602.805505,1000,725.329313
522.590155,1000,748.525076
468.404592,1000,787.554577
127.602873,352,795.678869
6.894141,56,797.001974
12.354191,57,798.318036
337.299063,1000,821.461592
346.247892,861,841.410268
346.971488,1000,864.554159
650.403127,1000,887.632192
287.463032,1000,910.824161
290.562234,1000,934.00513
326.548471,1000,957.123318
493.766069,1000,980.323198
289.227524,1000,1020.582525
529.594704,1000,1043.732186
681.23608,1000,1066.808001
506.955057,1000,1089.978037
488.760919,1000,1113.138924
604.485969,1000,1136.218884
114.925484,180,1140.372391
278.459186,506,1152.08465
588.324591,1000,1175.169096
637.900362,1000,1198.356036
704.680757,1000,1221.465456
378.861392,1000,1244.621367
352.542374,1000,1282.984868
351.844803,1000,1306.171058
724.456686,1000,1329.255578
426.877241,1000,1352.460499
537.595374,1000,1375.612344
568.906929,1000,1398.792475
536.642018,1000,1422.002546
497.036948,1000,1445.15709
705.926729,1000,1468.271784
472.640531,1000,1491.455936
488.02961,1000,1525.054997
434.964295,1000,1548.260046
148.136243,217,1553.291323
702.530815,1000,1576.490279
615.3205,1000,1599.660532
461.151199,1000,1622.8448
508.682384,1000,1646.039943
672.73428,1000,1669.162769
1.013194,21,1669.641574
552.48425,1000,1692.83911
538.907236,1000,1716.02077
674.692757,1000,1756.320182
566.504243,1000,1779.478769
53.138998,111,1782.078647
35.547815,88,1784.122884
505.090924,1000,1807.263118
571.874884,1000,1830.465887
406.457475,1000,1853.612237
586.403089,1000,1876.697693
538.820238,1000,1899.862838
585.733085,1000,1923.072255
471.842542,1000,1946.270876
690.613243,1000,1969.436111
506.978982,1000,2009.554471
558.171087,1000,2032.804856
636.668014,1000,2055.990783
678.147329,1000,2079.169185
644.021708,1000,2102.34183
521.712722,1000,2125.527609
668.132729,1000,2148.658303
189.077327,305,2155.708272
503.526241,1000,2178.889884
496.804704,1000,2202.114362
469.072065,1000,2225.327299
619.025744,1000,2265.592826
565.369952,1000,2288.762793
524.356333,1000,2311.942296
678.688843,1000,2335.087292
335.999446,1000,2358.326355
419.827849,1000,2381.52369
514.919045,1000,2404.661107
597.699762,1000,2427.820391
571.568997,1000,2450.980151
627.290621,1000,2474.146232
661.5223,1000,2514.356563
586.082451,1000,2537.44327
619.640204,1000,2560.595516
651.102111,1000,2583.790023
539.036243,1000,2606.955284
322.231365,1000,2630.158419
598.275077,1000,2653.339312
376.92288,1000,2676.543365
395.266597,1000,2699.756978
572.316071,1000,2722.962071
541.837284,1000,2761.024595
568.659964,1000,2784.217713
559.095695,1000,2807.366477
689.744319,1000,2830.550727
659.010256,1000,2853.684775
502.573591,1000,2876.82199
683.90305,1000,2900.018381
371.117965,1000,2923.232867
675.593332,1000,2946.380822
496.212708,1000,2969.620485
503.558142,1000,3010.047935
640.245729,1000,3033.223108
505.104179,1000,3056.453655
738.995901,1000,3079.650174
582.835835,1000,3102.905287
636.941476,1000,3126.16373
650.662803,1000,3149.4046
663.418681,1000,3172.645345
775.918776,1000,3195.832738
499.526454,1000,3219.071959
755.350734,1000,3259.383683
585.078571,1000,3282.606521
711.074207,1000,3305.870681
685.412854,1000,3329.103877
760.427578,1000,3352.324206
708.68496,1000,3375.555757
818.013563,1000,3398.771233
833.704045,1000,3421.98114
619.324053,1000,3445.349985
817.579241,1000,3468.567566
709.158496,1000,3508.811196
638.92784,1000,3532.053254
614.419268,1000,3555.300827
775.342489,1000,3578.486073
565.989082,1000,3601.763484
451.439337,1000,3625.022241
718.274197,1000,3648.196836
516.665933,1000,3671.474823
603.301938,1000,3694.713658
521.670257,1000,3718.000322
653.457011,1000,3755.83112
517.361454,1000,3779.051031
778.435168,1000,3802.267196
723.283247,1000,3825.508772
730.624724,1000,3848.707609
657.203995,1000,3871.920152
805.311472,1000,3895.107007
876.699802,1000,3918.253382
668.986705,1000,3941.474253
819.938299,1000,3964.671556
797.174929,1000,4004.915296
410.112943,1000,4028.138067
586.80934,1000,4051.375132
726.295962,1000,4074.576623
610.16367,1000,4097.762346
721.233315,1000,4120.979237
648.378071,1000,4144.202797
649.281066,1000,4167.382531
841.17054,1000,4190.569132
740.519474,1000,4213.756171
757.894432,1000,4253.918511
812.929273,1000,4277.146464
762.731202,1000,4300.363659
505.345911,1000,4323.539773
806.273903,1000,4346.698284
702.228789,1000,4369.919652
609.848696,1000,4393.168088
925.838381,1000,4416.375782
703.954004,1000,4439.556991
996.144817,1000,4462.731384
983.788559,1000,4503.004758
874.717893,1000,4526.208294
692.315494,1000,4549.382618
780.628881,1000,4572.592387
261.909617,445,4582.937727
1008.114585,1000,4606.162458
1023.659497,1000,4629.286443
1033.399025,1000,4652.49985
1110.869011,1000,4675.69909
689.571983,1000,4698.88244
1080.207071,1000,4739.152483
1101.653499,1000,4762.288186
1058.557025,1000,4785.418959
1029.501836,1000,4808.553621
1095.587417,1000,4831.696465
673.722764,1000,4854.907087
933.748345,1000,4878.123578
490.291518,1000,4901.360699
813.301844,1000,4924.582536
755.035348,1000,4947.790734
962.12704,1000,4988.027129
658.933439,1000,5011.264077
921.753263,1000,5034.475671
1139.013427,1000,5057.639748
1007.228965,1000,5080.853179
857.120946,1000,5104.053267
944.573042,1000,5127.213943
950.999359,1000,5150.348535
669.503923,1000,5173.610527
876.543348,1000,5196.806914
735.983305,1000,5237.188825
908.089773,1000,5260.394539
1127.33185,1000,5283.591701
861.511492,1000,5306.820347
1099.315961,1000,5330.008901
1338.48061,1000,5353.14249
268.763444,539,5365.660072
799.567955,1000,5388.794252
885.23835,1000,5411.996569
735.243362,1000,5435.221586
1260.94722,1000,5458.413406
1384.035752,1000,5498.751293
276.290806,515,5510.685945
1251.992163,1000,5533.896545
1146.180693,1000,5557.019709
930.660236,1000,5580.232449
1431.834684,1000,5603.417424
907.153008,1000,5626.63077
1230.084972,1000,5649.793634
977.436555,1000,5672.970096
1455.102356,1000,5696.143782
1326.777564,1000,5736.344673
1261.300972,1000,5759.474178
990.949564,1000,5782.667866
867.945513,1000,5805.861771
1320.559506,1000,5829.001311
1417.089503,1000,5852.108618
1259.102324,1000,5875.267503
972.864569,1000,5898.81199
1161.152453,1000,5921.997323
1186.052739,1000,5945.173485
1168.05035,1000,5985.275933
1113.965309,1000,6008.427896
969.400041,1000,6031.633967
1196.252172,1000,6054.765491
1107.606993,1000,6077.943143
1054.918618,1000,6101.083202
1167.198755,1000,6124.234887
1092.471739,1000,6147.44698
1522.101424,1000,6170.577586
1435.92944,1000,6193.715998
1231.51552,1000,6233.806388
1287.632836,1000,6256.959966
1195.005099,1000,6280.09414
1020.425915,1000,6303.301768
1562.668539,1000,6326.483924
1309.666324,1000,6349.696421
1577.408782,1000,6372.865469
1572.724417,1000,6396.010736
1352.796865,1000,6419.222503
1589.73258,1000,6442.409296
1612.75182,1000,6482.307912
1469.212594,1000,6505.493202
1543.564899,1000,6528.684508
1554.948136,1000,6551.850757
1476.878648,1000,6575.063622
1595.956571,1000,6598.274235
1486.360637,1000,6621.461996
1605.324768,1000,6644.67238
1537.271859,1000,6667.85759
1489.551982,1000,6691.026675
1534.924575,1000,6731.257192
1581.17055,1000,6754.48904
1533.581826,1000,6777.69631
1486.731715,1000,6800.860911
1621.934765,1000,6824.030586
1623.330253,1000,6847.182771
1635.711228,1000,6870.365757
1636.215032,1000,6893.548086
1670.922049,1000,6916.69797
1609.191024,1000,6939.884451
1661.755301,1000,6979.848771
1647.089475,1000,7002.998939
1690.090353,1000,7026.230414
1644.387034,1000,7049.630106
1723.070676,1000,7072.79554
1663.616898,1000,7095.953074
1714.060772,1000,7119.129823
1700.172804,1000,7142.367827
1670.683157,1000,7165.557025
1715.525239,1000,7188.695971
1599.658291,1000,7228.835566
1645.916276,1000,7252.029947
1721.429643,1000,7275.272048
1648.463745,1000,7298.443371
1686.860296,1000,7321.600749
1643.407509,1000,7344.777774
1654.354537,1000,7367.969244
1666.334207,1000,7391.211369
1650.929524,1000,7414.437278
1635.796199,1000,7437.631486
1651.931909,1000,7477.530291
1685.874327,1000,7500.647037
1689.026193,1000,7523.828733
1720.669685,1000,7546.980269
1690.483471,1000,7570.200704
1699.298171,1000,7593.367361
1693.98849,1000,7616.540996
1753.165426,1000,7639.707139
1732.346397,1000,7662.853624
1726.449022,1000,7686.011531
1715.27434,1000,7725.958469
1712.762871,1000,7749.115199
1700.492774,1000,7772.314012
1726.447835,1000,7795.490154
1797.686292,1000,7818.638113
1769.392881,1000,7841.793698
1725.62509,1000,7864.958611
1755.236332,1000,7888.072709
1737.709643,1000,7911.235749
1750.462077,1000,7934.387618
1759.320654,1000,7974.540443
1731.275257,1000,7997.73796
1754.92797,1000,8020.910342
