r,l,t
24.425356,29,3.925893
21.283525,10,3.949705
20.046414,9,3.972709
20.938674,19,4.014871
17.515372,12,4.048149
19.145913,16,4.092174
18.649656,12,4.125207
19.320659,13,4.1565
18.233769,14,4.191619
19.382988,7,4.207795
18.492053,13,4.238996
17.747147,11,4.266727
26.427765,18,4.316097
20.589339,12,4.346988
22.793783,14,4.380309
21.400766,12,4.409894
18.378624,13,4.441891
18.612631,6,4.459817
20.555057,13,4.48999
21.037273,12,4.517665
16.901123,5,4.532944
22.591074,15,4.568225
23.050301,12,4.598788
22.791035,13,4.634362
19.046611,12,4.664255
23.442705,15,4.701633
18.446472,9,4.723419
20.593459,11,4.750066
20.245015,13,4.782361
16.098668,7,4.802757
18.846891,10,4.826592
25.491599,16,4.86639
20.724788,10,4.891269
19.008594,8,4.910637
16.128058,9,4.931523
23.05737,14,4.966961
25.222371,19,5.014143
22.424372,16,5.053071
17.77478,10,5.07715
23.39255,14,5.111275
24.320175,17,5.153555
20.984618,12,5.182074
23.474232,8,5.20037
17.982946,24,5.25442
19.6763,9,5.275995
20.196529,8,5.298761
18.879101,20,5.351978
17.358733,8,5.371699
20.159935,12,5.40077
22.778227,15,5.437611
18.616341,13,5.46861
19.34658,7,5.486715
20.507885,8,5.508945
23.726288,21,5.56629
17.831453,13,5.598163
22.067419,11,5.624048
18.233067,6,5.637625
18.251725,7,5.65752
18.287005,15,5.690154
16.19145,9,5.716475
20.12899,14,5.750187
16.102083,11,5.779356
19.41957,10,5.804622
20.157929,14,5.837314
22.156805,13,5.868484
17.523473,12,5.898587
15.629842,13,5.93082
20.628103,12,5.960028
21.162482,13,5.995052
18.430006,8,6.014537
18.62498,8,6.034914
20.410784,11,6.064045
13.138933,26,6.127288
21.335186,11,6.153493
22.992425,8,6.172803
19.717041,14,6.208482
16.563546,13,6.242393
20.923675,15,6.280463
15.639108,5,6.29386
24.674315,14,6.33027
20.779543,16,7.569309
13.236545,11,7.944671
12.388801,5,8.129318
12.48684,5,8.29662
13.442381,5,8.472411
15.241985,5,8.656629
13.933823,5,8.827041
13.971204,5,9.011334
15.480833,5,9.202425
14.542396,5,9.379872
15.442108,5,9.546257
14.50368,5,9.726046
15.737727,5,9.911955
16.097874,5,10.087595
16.033806,5,10.263758
15.674296,5,10.44246
14.983397,5,10.621883
15.698043,5,10.817143
15.61185,5,11.007807
16.455883,5,11.190735
15.818738,5,11.374777
16.758601,5,11.552015
13.610667,5,11.73872
13.832013,4,11.878773
16.758648,5,12.06573
15.805794,5,12.249743
14.124442,5,12.425644
16.279742,5,12.612052
16.490175,5,12.795436
16.719009,5,12.969539
13.105464,4,13.118581
16.692092,5,13.292853
16.699793,5,13.465472
17.409977,5,13.637075
16.864474,5,13.819611
16.119833,5,13.991691
16.834865,5,14.180298
16.471426,5,14.375167
17.164002,5,14.550444
17.10766,5,14.737356
17.021114,5,14.9301
17.090837,5,15.101088
17.208916,5,15.285368
17.148691,5,15.46958
16.745641,5,15.660474
16.940813,5,15.84715
16.741948,5,16.082438
17.146788,5,16.382929
17.250331,5,16.564645
17.14451,5,16.753373
17.026322,5,16.935668
16.688253,5,17.103094
17.898629,5,17.360817
17.232903,5,17.541924
18.23633,5,17.719347
16.296338,5,17.887483
16.965402,5,18.08302
17.191514,5,18.273626
18.880165,5,18.459262
18.797046,5,18.644392
18.525576,5,18.855412
18.92701,5,19.040454
18.857597,5,19.221966
18.196513,5,19.4002
19.239206,5,19.578668
18.331926,5,19.771089
17.825821,5,19.937834
18.082442,5,20.116323
18.773557,5,20.299661
17.84563,5,20.471944
18.850123,5,20.667777
18.686527,5,20.880715
18.29707,5,21.069695
18.373239,5,21.257888
19.16492,5,21.555352
18.852893,5,21.741289
18.538896,5,21.922332
18.952407,5,22.086318
18.444791,5,22.266479
18.569705,5,22.443511
18.741471,5,22.682657
19.196184,5,22.935591
17.981452,5,23.143696
18.479119,5,23.328368
19.112515,5,23.494661
17.902904,5,23.625192
18.619407,5,23.760913
18.974845,5,23.899393
18.089654,5,24.066864
18.253446,5,24.20342
16.086976,5,24.368274
18.385132,5,24.565834
17.912655,5,24.732164
18.731452,5,24.970604
19.145737,5,25.159739
18.474888,5,25.355344
18.459561,5,25.551413
18.257035,5,25.733724
18.252535,5,25.907972
18.042125,5,26.049725
18.267597,5,26.189652
18.134616,5,26.325434
18.671625,5,26.456766
18.361893,5,26.592737
18.131437,5,26.727183
19.365046,5,26.860144
18.80007,5,26.994304
17.51225,5,27.131691
18.19556,5,27.265675
17.625647,5,27.400383
17.988019,5,27.538922
17.431702,5,27.670351
18.078017,5,27.802123
19.340099,5,27.937954
19.304001,5,28.071266
17.350316,5,28.202811
18.339179,5,28.339065
18.417136,5,28.473065
17.580455,5,28.606652
19.481135,5,28.739481
19.301692,5,28.87471
17.750392,5,29.001883
18.220819,5,29.133198
20.112517,6,29.291289
17.271839,5,29.422145
20.345855,6,29.587663
17.742172,5,29.71812
17.707644,5,29.87086
17.794845,5,30.011028
20.617365,6,30.18567
18.92703,5,30.334726
18.860524,5,30.466461
18.528004,5,30.609355
18.556645,5,30.755418
17.682436,5,30.88713
19.324057,6,31.053112
20.064065,6,31.207259
16.886663,5,31.342943
19.068541,5,31.475813
18.543452,5,31.60636
20.049802,6,31.763815
17.074935,5,31.892732
19.646085,6,32.04708
17.983957,5,32.184932
18.593936,5,32.3151
20.229954,6,32.476321
20.436523,6,32.641778
20.319688,6,32.80668
18.587127,5,32.940134
18.433488,5,33.070398
20.715225,6,33.226309
20.789651,6,33.383994
18.081909,5,33.515347
17.714057,5,33.654891
18.5661,5,33.78492
17.522536,5,33.913524
19.395417,6,34.078507
17.191987,5,34.214414
20.49177,6,34.37988
19.007024,6,34.538089
17.972537,5,34.67195
20.171005,6,34.827707
18.279082,5,34.957473
19.074272,6,35.115299
19.822443,6,35.274658
19.175425,6,35.431907
19.709378,6,35.589178
19.193412,6,35.747777
18.858966,7,35.937523
19.896665,6,36.093691
20.079841,6,36.253103
18.49181,5,36.387465
