r,l,t
18.372175,15,1.590051
13.331636,9,1.605953
15.55219,12,1.626778
18.538369,16,1.653864
15.814465,18,1.686067
18.724683,17,1.715919
11.124274,9,1.73149
15.50695,10,1.748571
16.599874,12,1.770447
17.070276,17,1.800493
23.632656,25,1.842797
16.688323,14,1.86752
15.13552,13,1.890977
18.932932,14,1.916536
13.840646,9,1.932379
25.726293,23,1.971228
21.327794,18,2.004036
14.207343,15,2.030078
18.343536,18,2.060661
18.532311,17,2.089163
21.122018,24,2.131902
14.886796,10,2.149325
22.616598,27,2.19498
17.535205,15,2.220297
13.413628,9,2.237473
12.676288,10,2.256397
13.030098,8,2.270396
15.085517,11,2.289502
23.333918,26,2.335212
13.815032,10,2.352744
15.587972,11,2.371549
17.100742,16,2.398691
16.801466,12,2.420533
16.379402,14,2.445811
23.265142,21,2.481425
19.235388,20,2.515123
11.066806,8,2.529938
14.250989,10,2.547822
22.963697,26,2.592207
13.734929,10,2.609712
14.015586,10,2.62806
28.174059,25,2.671288
15.038017,12,2.692014
15.583128,11,2.710966
12.813294,10,2.72955
13.871419,9,2.746622
23.158338,21,2.782588
20.059183,17,2.811568
17.406413,14,2.836751
18.827458,17,2.868566
15.036028,10,2.888047
15.141233,12,2.909847
12.7632,9,2.926935
13.38013,8,2.94249
15.210373,11,2.961965
18.514878,19,2.993865
30.869946,35,3.054879
20.826043,20,3.088682
15.223701,11,3.107663
17.829605,14,3.131448
12.252754,8,3.146541
18.45689,19,3.179806
18.705518,16,3.20718
12.409882,7,3.220391
19.118983,15,3.247659
14.628836,14,3.273103
13.111836,13,3.295749
15.39262,20,3.839476
10.405589,7,4.001096
12.872438,10,4.222578
10.233282,8,4.397887
9.447993,7,4.553071
7.580171,6,4.690182
8.562271,6,4.824746
7.321913,5,4.935071
7.200319,5,5.048287
7.088452,5,5.161981
7.830164,5,5.273856
7.593843,5,5.386175
7.729632,5,5.499323
7.775317,5,5.612696
7.803038,5,5.725909
8.489041,5,5.841848
8.363326,5,5.957922
7.908726,5,6.070619
7.54826,5,6.184799
7.87627,5,6.299914
7.762398,5,6.411943
7.037089,5,6.526415
8.873051,6,6.665589
7.042989,5,6.782338
8.990331,6,6.919582
9.672527,6,7.060411
8.350632,6,7.193924
9.32872,6,7.326313
8.824688,6,7.458877
8.674662,6,7.595487
9.60415,6,7.729245
10.378103,6,7.863207
8.276834,5,7.975264
9.480039,6,8.110081
9.953541,6,8.245606
10.49092,6,8.37934
9.153505,5,8.491592
8.704176,5,8.605572
11.20668,6,8.741024
8.599441,5,8.853081
10.020414,6,8.999365
11.981903,7,9.157917
11.474056,6,9.293341
10.643171,6,9.426547
10.972516,6,9.65563
11.043913,6,9.793699
10.576462,6,9.929003
9.929581,6,10.064413
9.934816,6,10.198328
10.397409,6,10.333756
10.151575,6,10.468657
11.077337,6,10.601188
10.880856,6,10.736534
10.253729,6,10.876431
10.401024,6,11.013237
10.47936,6,11.147134
10.347166,6,11.287437
10.746576,6,11.422517
9.790777,6,11.555562
10.836266,6,11.693796
10.41436,6,11.831088
10.661008,6,11.968272
11.66539,6,12.10167
10.618223,6,12.235892
10.769311,6,12.371172
9.854388,5,12.488654
11.411414,6,12.623803
10.752758,6,12.758589
11.672692,6,12.894965
9.534485,5,13.009336
11.37571,6,13.14544
10.984121,6,13.283146
11.496672,6,13.419317
11.754535,6,13.559731
11.027279,6,13.69277
11.044846,6,13.82568
11.048877,6,13.959292
10.892682,6,14.094737
11.362275,6,14.228472
11.780239,6,14.360862
11.634895,6,14.494608
11.439086,6,14.631311
11.557129,6,14.764179
11.757504,6,14.896753
11.401388,6,15.029374
11.218356,6,15.167092
11.502709,6,15.305338
11.524534,6,15.439281
11.430805,6,15.572432
10.744977,6,15.707125
11.263256,6,15.841225
10.843768,6,15.974524
12.831148,7,16.12952
11.249439,6,16.263826
11.394247,6,16.401825
11.621178,6,16.537501
11.514669,6,16.674908
11.597997,6,16.812007
11.234032,6,16.944479
11.647116,6,17.076906
10.654026,6,17.215163
11.858276,6,17.35038
11.824074,6,17.482865
13.113095,7,17.640799
11.365855,6,17.773871
13.005275,7,17.932291
11.234002,6,18.065422
11.344814,6,18.198986
12.787865,7,18.355349
11.285144,6,18.494227
12.722459,7,18.653235
11.736266,6,18.786372
11.662904,6,18.919446
11.183453,6,19.054907
11.741446,6,19.188853
13.045083,7,19.346921
11.272853,6,19.480893
11.330615,6,19.61905
11.774358,6,19.752846
11.867516,6,19.885943
12.748251,7,20.043218
13.12331,7,20.202105
11.862995,6,20.33465
12.563141,7,20.490235
11.575821,6,20.623727
13.083439,7,20.781256
11.756702,7,20.940593
12.037396,7,21.098148
12.742646,7,21.253621
12.76136,7,21.41484
12.911204,7,21.573684
12.59625,7,21.72875
12.347686,7,21.884202
12.149741,7,22.042552
15.731352,11,22.289494
15.100027,10,22.512138
18.149658,22,22.99618
13.789791,8,23.177572
12.032386,7,23.331302
12.151613,7,23.490142
15.221225,10,23.716337
17.556909,19,24.139528
18.173615,18,24.541434
22.012711,21,25.007834
18.090564,20,25.452103
28.885291,34,26.21432
24.629667,22,26.70948
24.670723,23,27.222216
34.152421,36,28.017201
29.99316,31,28.711561
25.269402,25,29.273252
24.111226,20,29.712609
28.719156,26,30.296209
20.424853,19,30.719626
27.72807,25,31.279671
24.51756,22,31.770896
31.720301,33,32.504275
31.403236,28,33.131624
35.081135,40,34.024176
30.721767,26,34.611787
35.743828,32,35.320116
38.065407,32,36.031899
55.696104,49,37.119377
27.667187,25,37.672515
32.765592,62,39.060009
86.203527,82,40.89798
73.859055,63,42.297825
88.964297,80,44.073992
27.550579,30,44.745889
57.807903,76,46.455078
98.066911,94,48.5604
116.171901,116,51.146488
82.114897,86,53.067867
100.859918,99,55.296358
77.238217,69,56.830544
80.771625,73,58.461094
59.995824,56,59.703591
68.873129,74,61.375463
79.846685,76,63.088494
88.572601,94,65.190905
66.068219,63,66.595508
61.043117,57,67.869781
102.784152,101,70.121332
66.779927,58,71.416195
81.191631,71,72.991121
73.930287,64,74.420246
85.234057,76,76.126952
93.015241,84,78.002581
42.821654,64,79.4327
69.651077,71,81.017577
82.643619,76,82.716445
59.811545,55,83.938406
97.703835,86,85.87437
69.995374,60,87.24901
76.119164,62,88.637011
85.597157,71,90.233242
96.768131,77,91.957349
100.281165,79,93.711852
86.357686,67,95.221546
110.645217,91,97.252601
76.243358,59,98.563931
76.916515,60,99.905846
125.190913,106,102.278868
65.469904,115,104.837918
138.67444,122,107.55733
73.931024,59,108.881702
59.279506,52,110.044181
91.189727,148,113.356013
84.478789,66,114.831287
77.954404,81,116.648561
70.281515,83,118.508538
69.877822,70,120.068089
99.895218,94,122.172484
95.997784,83,124.031047
58.385908,55,125.25436
90.207659,80,127.032411
95.64526,80,128.816009
108.914383,140,131.942158
62.015232,50,133.063201
66.633107,52,134.237074
93.522821,75,135.903095
71.944034,53,137.084584
85.583706,69,138.623512
104.878799,86,140.539551
26.240841,53,141.727727
79.514902,61,143.089113
96.763165,81,144.894837
71.030542,53,146.082873
81.934517,65,147.542895
90.843115,76,149.337943
85.813678,67,150.84087
70.341706,57,152.114549
84.480817,70,153.697797
83.343348,66,155.16856
77.416408,65,156.620743
99.647839,79,158.375755
88.607358,73,160.011322
67.04451,54,161.216692
65.233273,51,162.350648
89.138911,79,164.131408
104.892693,104,166.491795
74.286355,60,167.845486
77.669169,67,169.346868
83.75084,67,170.84426
71.724157,52,172.014159
47.227902,89,174.011484
78.84294,60,175.356049
92.798306,72,176.9792
87.048077,69,178.520636
80.045416,67,180.015981
60.849803,112,182.506975
81.684665,69,184.041847
78.176677,68,185.558547
73.712595,65,187.013051
70.634143,63,188.420461
80.842893,63,189.826115
85.482504,77,191.537517
105.691952,108,193.943949
77.094385,70,195.504723
76.962178,69,197.038816
67.305075,57,198.311859
87.936145,80,200.105427
80.545062,69,201.64643
67.983741,57,202.913244
84.155399,73,204.533956
80.349898,66,207.165103
83.685264,67,208.650934
76.392123,63,210.059548
56.875886,103,212.351226
88.458755,74,214.014477
62.526104,50,215.128802
74.717359,59,216.443602
82.380038,66,217.918283
74.187692,63,219.330793
84.846656,70,220.901189
91.978622,76,222.587346
81.074394,67,224.082354
82.683235,65,225.530514
91.845244,81,227.325117
91.926891,83,229.178993
80.178227,71,230.766674
101.947832,86,232.699601
67.232784,60,234.031372
158.113619,157,237.537705
64.162305,55,238.774482
90.929456,91,240.79759
132.830516,142,243.973402
95.477488,88,245.94558
58.281195,52,247.110172
127.603424,127,249.929971
74.347513,72,251.536898
83.105015,77,253.25462
81.412263,79,255.005872
82.647203,67,256.509838
81.440842,64,257.943255
106.064766,100,260.170636
64.440653,53,261.363559
74.949783,61,262.729104
72.904911,59,264.039541
26.849012,77,265.758234
74.709801,60,267.11045
79.377731,67,268.608728
69.879718,60,269.953269
74.038793,66,271.419499
65.314629,53,272.612326
71.335466,58,273.905829
87.83646,77,275.623627
75.419785,64,277.060344
90.67282,84,278.943586
124.991728,113,281.460525
89.633381,76,283.163258
61.246441,48,284.225501
43.750809,73,285.85503
85.609283,78,287.593328
73.572433,54,288.794727
68.993594,58,290.085875
75.680127,66,291.553507
74.071021,67,293.049549
79.364139,67,294.551369
75.566454,59,295.873118
79.521535,63,297.274812
93.80757,79,299.046141
81.949664,70,300.614329
89.049784,74,302.26107
59.093521,98,304.445394
81.709927,68,305.95929
121.096018,105,308.30222
79.82674,56,309.55949
102.975144,77,311.270682
78.255848,62,312.665615
77.691332,58,313.960567
94.13009,72,315.565202
97.241554,68,317.074296
109.972906,94,319.168452
74.818257,63,320.595292
65.10594,50,321.716151
85.418671,66,323.196323
110.120492,85,325.095071
100.245686,78,326.837855
105.720645,80,328.624859
93.114849,70,330.172124
83.829717,76,331.872787
80.192235,60,333.21131
88.737045,77,334.941435
81.897987,61,336.299691
70.089845,57,337.57734
62.698562,47,338.629086
78.17537,65,340.066479
92.276421,82,341.899524
102.372646,77,343.611294
88.383375,69,345.1502
93.249318,82,346.984363
101.05472,89,348.969188
48.032031,65,350.425615
77.459678,63,351.837168
83.513246,68,353.357662
121.33928,102,355.622108
71.047467,55,356.854472
99.141358,81,358.684438
91.955958,75,360.352259
83.932199,67,361.847068
118.721858,106,364.210634
101.533544,88,366.162419
82.492717,66,367.646295
92.184596,76,369.350215
80.236802,67,370.852922
103.914686,84,372.73542
89.847593,77,374.47801
102.756788,89,376.471815
83.717551,68,377.99235
93.908158,82,379.823552
111.576273,109,382.272628
92.719189,81,384.094295
78.854374,68,385.619529
114.560028,98,387.840189
96.447717,83,389.697966
30.328151,30,390.374389
97.77839,83,392.239814
89.774284,73,393.884894
94.565907,83,395.742657
99.226403,83,397.606181
127.016392,117,400.26845
113.348351,95,402.39438
105.462021,86,404.323283
31.235052,33,405.060112
116.796217,103,407.369622
105.549704,90,409.394408
87.231959,69,410.945004
94.988933,79,412.704483
41.879909,43,413.669807
84.961405,67,415.163981
