#{"t_start": 1648573442.9281323, "env_id": "Walker2DBulletEnv-v0"}
r,l,t
23.506034,24,1.585567
12.778876,16,1.612461
17.517464,13,1.634626
40.195876,41,1.702189
20.61658,16,1.72914
14.235881,14,1.75266
15.111641,11,1.771496
15.688609,16,1.798034
17.826165,18,1.828409
22.211625,20,1.862084
16.066045,13,1.884094
17.680031,15,1.909366
12.115178,8,1.923558
20.414548,20,1.957003
17.173479,16,1.984111
18.613118,16,2.010519
16.757698,13,2.033156
15.565285,11,2.052055
16.966317,14,2.076054
18.116164,18,2.106485
25.183254,23,2.146154
14.580338,10,2.163523
26.857889,25,2.205188
15.532791,11,2.224052
13.084074,10,2.241655
20.461806,26,2.285187
14.75922,11,2.304056
12.528991,8,2.318208
18.018457,16,2.346153
14.812842,11,2.364977
13.062465,8,2.379036
16.587071,13,2.401108
12.431285,7,2.414134
12.69771,13,2.435866
25.879494,28,2.482822
19.497926,19,2.51472
14.693684,12,2.535709
15.556016,12,2.556261
14.656115,11,2.575197
15.012767,14,2.599335
19.316836,16,2.627107
24.065609,25,2.66885
21.45545,21,2.704114
19.914832,21,2.739149
17.085502,16,2.766548
13.345099,11,2.785397
27.447124,31,2.836748
19.756689,19,2.868038
14.854383,9,2.884097
18.012555,15,2.90964
17.664466,20,2.942876
16.19391,22,2.980655
16.30034,17,3.009788
15.34096,11,3.028678
19.568208,17,3.057281
17.031078,16,3.083717
21.313903,20,3.117773
25.930847,26,3.160907
13.51925,9,3.177311
14.523552,12,3.197677
14.638328,10,3.215583
16.950143,14,3.239666
15.547907,19,4.052645
7.443018,12,4.313926
5.175112,10,4.534153
9.264389,7,4.688937
9.353669,6,4.819737
7.35142,5,4.929793
7.905684,5,5.041975
7.625364,5,5.15262
7.600417,5,5.264443
7.470005,5,5.377658
8.234844,5,5.488174
6.801971,5,5.598136
7.64158,5,5.708526
7.255253,5,5.819187
7.106548,5,5.929125
7.443767,5,6.040867
7.538613,5,6.150718
7.500981,5,6.26345
7.17685,5,6.375419
7.953167,5,6.485703
7.766677,5,6.595731
8.534252,5,6.70497
8.439908,5,6.816545
7.628761,5,6.932547
8.019166,5,7.042816
8.938381,5,7.152886
8.20823,5,7.268545
7.663174,5,7.379228
7.702744,5,7.492476
8.354307,5,7.604992
8.362152,5,7.719575
8.285779,5,7.830004
6.932695,5,7.93948
8.067601,5,8.049022
8.549838,5,8.16125
8.032716,5,8.2711
8.051099,5,8.380988
8.083054,5,8.493708
8.107238,5,8.608611
7.907604,5,8.721539
7.801547,5,8.833002
8.091243,5,8.94423
7.77563,5,9.056619
8.46618,5,9.166811
8.678954,5,9.275364
8.020643,5,9.38743
8.553518,5,9.58888
8.244443,5,9.704613
8.406183,5,9.814479
8.153231,5,9.925516
8.560073,5,10.03969
8.529009,5,10.155005
8.622196,5,10.266907
8.751827,5,10.381019
8.837125,5,10.495471
8.428738,5,10.605814
8.12381,5,10.72068
8.689812,5,10.835122
8.975107,5,10.946718
8.797933,5,11.05838
9.200499,5,11.169055
9.221765,5,11.278009
9.818793,5,11.389823
8.728367,5,11.499553
8.270455,5,11.609676
10.227493,6,11.742351
8.606589,5,11.852374
9.249317,5,11.962757
10.252959,6,12.093305
11.177026,6,12.225314
8.304364,5,12.342098
