#{"t_start": 1652625372.5478854, "env_id": "AntBulletEnv-v0"}
r,l,t
2422.656081,1000,6.544899
2379.516323,1000,10.441921
2431.44865,1000,14.379973
2478.192693,1000,18.286484
2374.324268,1000,22.219834
2464.364278,1000,26.098065
2443.260986,1000,29.984113
2396.285313,1000,33.857205
2421.818486,1000,37.727439
2387.347662,1000,41.630491
2444.802922,1000,45.493003
2390.044244,1000,49.401976
2354.423121,1000,53.276742
2353.747795,1000,57.195439
2435.857412,1000,61.119622
2468.55636,1000,65.013308
2406.484334,1000,68.935607
2461.571349,1000,72.894266
2405.728193,1000,76.851168
2371.446505,1000,80.8062
2391.76989,1000,84.808089
2358.641465,1000,88.847852
2497.959502,1000,93.190973
2353.582285,1000,97.090998
2440.864265,1000,101.016865
2411.186756,1000,104.908376
2377.677257,1000,108.844127
2359.466589,1000,112.754042
2443.646744,1000,116.642318
2386.618637,1000,120.520238
2433.708483,1000,124.389452
2434.847003,1000,128.286023
2360.81347,1000,132.166269
2390.80728,1000,136.068704
2448.988221,1000,139.983707
2478.436503,1000,143.858779
2423.849884,1000,147.746924
2403.878148,1000,151.564499
2389.388989,1000,155.274639
2426.767368,1000,158.921149
2245.098758,1000,162.825531
2450.564279,1000,166.702289
2379.418101,1000,170.574016
2412.612334,1000,174.434633
2345.702506,1000,178.343564
2409.09527,1000,182.259389
2438.970657,1000,186.197907
2437.483503,1000,190.247859
2350.166785,1000,194.197521
2385.816758,1000,198.089253
2412.02575,1000,201.991274
2458.319828,1000,205.91719
2394.638328,1000,209.849435
2407.853508,1000,213.810731
2409.649509,1000,217.705914
2457.4652,1000,221.716911
2440.587632,1000,225.636468
2353.635445,1000,229.602543
2417.261341,1000,233.515433
2393.973231,1000,237.426205
2409.323643,1000,241.328137
2445.661922,1000,245.19576
2357.683405,1000,249.108549
2451.553892,1000,253.042383
2372.876999,1000,256.982408
2422.869459,1000,260.927536
2398.772734,1000,264.815937
2306.416677,1000,268.722597
2414.925814,1000,272.696285
2381.250845,1000,276.630777
2382.080525,1000,280.571024
2402.238574,1000,284.493384
2473.130025,1000,288.433934
2230.161342,1000,292.429185
2444.908869,1000,296.356703
2489.343178,1000,300.320087
2439.196025,1000,304.239663
2369.004607,1000,308.174762
2368.507433,1000,312.101492
2490.495002,1000,315.984698
2400.845644,1000,319.90375
2500.336223,1000,323.852355
2386.808394,1000,327.732795
2394.867761,1000,331.594952
2438.271702,1000,335.515464
2408.381289,1000,339.468925
2421.899096,1000,343.371641
2481.06892,1000,347.347719
2407.988503,1000,351.26021
2432.186504,1000,355.166807
2317.395284,1000,359.106325
2381.875678,1000,363.017402
2413.209686,1000,366.890331
2358.960771,1000,370.819782
2348.732673,1000,374.754608
2443.66332,1000,378.674854
2435.253731,1000,382.618442
2440.500825,1000,386.520551
2380.96064,1000,390.438905
2421.740532,1000,394.401026
2450.016622,1000,398.398303
2427.501928,1000,402.307496
2394.041838,1000,406.204249
2333.605754,1000,410.126609
2427.970578,1000,414.052222
2431.697373,1000,417.966061
2375.37701,1000,421.952377
2383.93464,1000,425.904969
2457.883007,1000,429.82272
2441.266077,1000,433.740997
2334.240089,1000,437.735277
2310.401461,1000,441.703783
2366.239364,1000,445.667126
2453.715079,1000,449.626077
2451.634457,1000,453.520026
2419.613241,1000,457.457943
2431.059512,1000,461.358031
2442.398591,1000,465.326536
2428.677806,1000,469.271137
2327.151188,1000,473.196156
2376.986287,1000,477.137751
2490.048788,1000,481.100154
2425.193103,1000,485.048514
2397.704399,1000,488.993154
2406.438111,1000,492.939818
2291.454027,1000,496.892756
2395.026166,1000,500.827537
2353.82292,1000,504.773597
2409.45793,1000,508.707667
2427.720711,1000,512.648856
2450.664244,1000,516.533758
2412.874271,1000,520.422163
2452.185933,1000,524.362738
2438.376211,1000,528.320559
2396.197114,1000,532.266824
2412.153753,1000,536.180179
2429.861403,1000,540.144381
2442.228501,1000,544.088329
2399.771166,1000,548.017075
2412.093181,1000,551.985682
2409.034606,1000,555.920506
2373.756055,1000,559.851543
2333.604956,1000,563.783642
2409.112293,1000,567.674718
2448.033197,1000,571.58613
2428.147216,1000,575.520061
2425.94935,1000,579.426489
2469.35615,1000,583.3352
2441.202423,1000,587.25193
2428.634573,1000,591.153449
2398.935809,1000,595.086924
2453.447087,1000,598.997751
2467.277166,1000,602.892936
2363.091267,1000,606.824883
2420.292177,1000,610.735313
2472.060466,1000,614.617184
2407.704308,1000,618.50698
2395.148555,1000,622.39133
2414.196551,1000,626.278019
2444.637288,1000,630.14151
2346.148849,1000,634.062328
2383.275172,1000,637.946
