#{"t_start": 1652655592.191251, "env_id": "HopperBulletEnv-v0"}
r,l,t
187.297877,105,2.655386
187.98779,98,2.945507
186.495723,102,3.250114
191.901048,98,3.53806
191.49003,99,3.833844
183.104018,93,4.107564
187.79558,101,4.413583
99.250158,68,4.619355
187.917036,107,4.939264
185.121184,97,5.224435
180.205467,104,5.530333
201.027852,102,5.832329
148.823737,81,6.074276
191.943826,100,6.364924
181.720144,101,6.663222
126.50845,75,6.889186
178.919947,97,7.168688
208.168305,107,7.478623
198.100239,102,7.772118
179.45965,103,8.078025
281.725009,144,8.494054
167.266263,91,8.752671
198.305366,103,9.053168
179.888063,97,9.343327
154.833893,84,9.58937
161.119134,89,9.85122
183.882997,100,10.14649
192.555476,104,10.455732
184.583721,105,10.760375
193.361199,105,11.069319
185.698843,99,11.358406
179.773314,93,11.63761
190.79068,105,11.944459
228.348406,116,12.27611
160.361843,84,12.519343
186.144061,101,12.817657
205.766301,107,13.131281
195.61256,98,13.40474
155.151433,92,13.672385
198.374982,104,13.971325
180.873047,107,14.285117
197.724219,102,14.586133
192.662637,103,14.88977
176.06115,101,15.177558
190.66294,101,15.478765
185.672144,100,15.769892
184.470338,97,16.046818
141.536796,80,16.279064
169.60716,92,16.552086
172.790639,91,16.817492
219.828809,113,17.147942
145.780574,83,17.38424
188.402742,96,17.668454
108.074801,73,17.885553
163.2058,87,18.20701
208.658868,106,18.518992
178.026106,91,18.820114
171.956795,102,19.142333
142.795295,82,19.385325
166.196525,92,19.650255
245.697473,130,20.032222
183.741803,96,20.324281
193.324308,100,20.622239
169.068428,102,20.923314
311.258593,156,21.386392
178.532491,104,21.685151
210.639544,107,22.002288
213.227867,112,22.319014
171.218116,92,22.582077
390.920331,196,23.155948
181.048062,104,23.451571
199.681686,103,23.761027
172.600104,94,24.035181
177.274944,92,24.308268
181.154589,97,24.595493
174.00525,101,24.886122
170.001018,93,25.166054
243.851574,131,25.551233
117.422207,75,25.773189
181.621679,95,26.05144
185.850725,97,26.328832
174.979345,92,26.604073
162.669113,90,26.864735
201.354139,104,27.174552
177.887766,103,27.479553
142.847887,83,27.730966
192.745759,100,28.025027
187.924961,99,28.315568
293.309031,146,28.734753
161.023048,87,28.99059
142.733843,81,29.256588
178.042404,95,29.544735
182.118864,96,29.843778
177.432147,98,30.124662
173.751674,96,30.405007
163.103875,86,30.705465
248.723852,130,31.087144
307.528217,152,31.537067
185.814912,101,31.841957
186.744206,104,32.152003
193.988787,98,32.488836
196.46815,105,32.80194
195.641392,101,33.107892
175.163196,99,33.407275
145.014258,81,33.654091
175.739903,95,33.961134
193.685839,100,34.288103
176.514514,97,34.568326
169.785879,96,34.85185
193.258851,104,35.157409
113.394341,74,35.375812
123.081626,75,35.602013
196.804789,102,35.898594
180.113346,106,36.214996
321.453223,181,36.744274
179.04463,100,37.040284
175.379524,95,37.324823
173.999527,91,37.59299
180.600608,107,37.902059
183.766846,101,38.196711
435.747404,225,38.860082
193.721136,100,39.152334
154.774884,84,39.401813
144.157479,81,39.638821
164.990659,92,39.91162
172.151667,95,40.18173
195.544432,100,40.478919
211.704428,106,40.800801
153.856044,86,41.055914
476.987785,266,41.837225
220.129629,115,42.177437
151.612434,86,42.435953
212.668768,104,42.726724
200.034204,100,43.029343
198.737423,106,43.343103
155.791138,87,43.603921
149.634632,87,43.868034
165.04299,91,44.143216
178.97435,92,44.411102
185.48675,99,44.706658
191.775261,97,44.988138
159.003036,85,45.239294
179.186046,99,45.528373
173.558878,97,45.814649
181.248126,98,46.091859
206.280108,106,46.395391
188.409816,99,46.687569
195.616497,99,46.977066
153.894194,98,47.272724
207.138807,113,47.606631
188.704493,102,47.909195
199.700307,104,48.214296
168.342918,94,48.493287
198.480747,102,48.795666
174.489071,97,49.073074
173.928667,98,49.359478
236.231526,125,49.732348
176.866712,95,50.018364
209.42965,110,50.336403
175.685402,94,50.608295
176.534502,94,50.888803
197.251834,109,51.204103
156.912209,87,51.468512
310.175075,156,51.920079
165.252947,89,52.183021
186.392497,102,52.482085
129.419751,78,52.711251
223.488162,119,53.062923
182.735811,104,53.366534
174.754195,99,53.658839
169.985692,96,53.934775
197.139909,101,54.238568
203.94143,107,54.552158
177.901584,95,54.845014
182.478508,102,55.152653
183.785742,104,55.455757
180.545255,93,55.731709
198.404016,103,56.029256
196.632478,103,56.334323
182.762107,104,56.644677
183.772552,100,56.945047
216.39611,115,57.294973
207.175029,105,57.596908
176.957026,99,57.892337
197.941492,101,58.18383
174.804663,102,58.483603
169.920665,96,58.762446
193.533344,99,59.057897
180.804451,99,59.356103
164.103566,91,59.623681
103.191875,68,59.820349
179.572313,96,60.101704
191.354909,104,60.412134
151.357252,88,60.676475
438.472858,241,61.365567
152.897244,82,61.607235
96.707202,67,61.80867
167.299997,93,62.076526
172.388844,92,62.357755
185.912547,99,62.648306
119.372125,76,62.870579
174.593638,96,63.160926
194.767267,105,63.470087
167.838914,89,63.727463
167.100162,91,64.002004
180.447176,97,64.289391
189.99,100,64.588876
207.076754,105,64.901328
161.37108,88,65.155032
103.377772,70,65.36596
211.541711,109,65.684175
197.605677,102,65.983948
