r,l,t
103.815881,200,2.097278
21.889748,61,2.21964
94.882132,200,2.623328
101.536488,200,3.026038
37.116241,89,3.206128
100.702074,200,3.613813
105.506196,200,4.018961
90.180704,200,4.428267
107.204938,200,4.833361
103.992075,200,5.239369
90.292531,200,5.64811
99.80749,200,6.052669
97.939008,200,6.458734
81.725197,200,6.87034
96.309786,200,7.276261
116.548286,200,7.679494
106.136832,200,8.08615
118.051475,200,8.489018
103.721757,200,8.894508
111.199153,200,9.301724
101.231057,200,9.711015
113.333476,200,10.113842
93.32478,200,10.522671
108.470818,200,10.931679
106.723339,200,11.340167
105.911602,200,11.747299
102.291835,200,12.15449
62.342274,152,12.466158
87.754288,200,12.8769
91.493117,200,13.283789
91.427355,200,13.694157
124.178819,200,14.096528
99.36125,200,14.501868
99.275955,200,14.905059
121.203943,200,15.306606
101.054955,200,15.711272
96.879467,200,16.120493
100.792992,200,16.523555
115.926859,200,16.925057
50.687117,111,17.150474
96.346331,200,17.557097
107.940583,200,17.965478
90.649179,200,18.371791
103.358359,200,18.779355
88.655298,200,19.188385
94.866299,200,19.593175
99.416915,200,20.001171
91.851211,200,20.413383
95.169873,200,20.822356
108.176127,200,21.225911
96.789336,200,21.632978
99.698675,200,26.284603
98.309621,200,30.898848
95.140677,200,35.49932
95.683121,200,40.094671
102.573654,200,44.668666
108.293893,200,49.29096
95.053796,200,53.89377
98.88866,200,58.476806
80.197208,168,62.338497
85.227553,200,66.935746
91.070195,200,71.529818
92.48288,200,76.119155
62.825699,169,80.046398
2.973846,20,80.505895
2.867198,26,81.096385
87.399097,200,85.714073
95.874641,200,90.328622
82.197285,200,94.939284
98.409578,200,99.548825
74.217664,200,104.157948
85.401737,200,108.751492
97.466934,200,113.349193
119.216084,200,117.958474
94.97846,200,122.575209
105.553477,200,127.178284
102.705756,200,131.78427
88.369543,200,136.406416
94.114552,200,140.990318
65.053591,153,144.497116
50.464074,134,147.569884
4.142836,27,148.195315
82.89038,200,152.809155
96.958011,200,157.412828
90.254144,200,162.012881
1.136958,35,162.811764
63.962114,200,167.410655
87.85426,200,172.025799
85.51542,200,176.633497
102.224476,200,181.246165
86.774419,200,185.857725
80.289949,200,190.469741
31.90511,71,192.098996
91.505101,200,196.715372
103.889496,200,201.342734
91.727378,195,205.823303
99.203431,200,210.428635
121.412603,200,215.034399
104.766507,200,219.652195
36.574308,73,221.338656
96.525027,200,225.936877
6.108745,32,226.670078
11.411811,35,227.468375
32.662158,58,228.818459
87.203484,200,233.438038
119.770469,200,238.040731
82.895068,200,242.64077
26.797577,200,247.255892
59.27871,200,251.876675
15.042245,200,259.914696
22.069151,200,264.523782
86.429202,200,269.146177
141.038276,200,273.76997
102.39492,200,278.357968
52.083327,200,282.950667
95.999559,200,287.551678
133.717549,200,292.167856
112.764763,200,296.791141
134.877742,200,301.388144
122.087155,200,305.984229
75.417635,200,310.588583
64.803167,200,315.19399
130.502542,200,319.79467
91.470437,200,324.424573
86.736353,200,329.030817
75.710773,200,333.64819
103.055767,200,338.266274
98.993579,200,342.878878
94.834316,200,347.486538
119.854912,200,352.090225
118.462656,200,356.698301
126.239647,200,361.311907
91.962393,200,365.904855
97.824389,200,370.492231
124.374548,200,375.079822
101.197345,200,379.715685
110.494671,200,384.324954
96.357362,200,388.92129
138.443409,200,393.517979
115.004097,200,398.114944
89.761038,200,402.717014
