#{"t_start": 1649367342.6432538, "env_id": "AntBulletEnv-v0"}
r,l,t
101.222012,200,2.105125
98.192647,200,2.511029
89.409406,200,2.917675
101.919684,200,3.326689
94.715171,200,3.733879
93.259644,200,4.139698
128.313684,200,4.542544
109.153787,200,4.947462
116.887598,200,5.352389
90.971321,200,5.761986
101.713899,200,6.168181
103.335375,200,6.576192
88.378269,200,6.982813
106.822105,200,7.390927
93.090801,200,7.803277
107.838064,200,8.210444
119.917091,200,8.614591
99.695928,200,9.024093
102.634156,200,9.433264
95.029519,200,9.845113
108.886145,200,10.25134
123.613273,200,10.658023
106.696776,200,11.065521
18.720173,42,11.150079
97.214811,200,11.558659
96.967569,200,11.965746
4.169846,21,12.007252
92.981269,200,12.419008
107.840047,200,12.827199
90.465954,200,13.234403
105.924292,200,13.640254
73.843042,166,13.982334
99.356459,200,14.394243
113.724826,200,14.801212
100.144903,200,15.205884
99.005231,200,15.616385
94.273774,200,16.025017
80.097875,173,16.37853
96.086311,200,16.786781
103.079985,200,17.1934
94.202956,200,17.601776
104.745189,200,18.008896
96.861902,200,18.416214
99.512858,200,18.822395
91.275449,200,19.232308
102.15448,200,19.641848
101.553016,200,20.047875
104.669208,200,20.456224
25.412177,65,20.588071
89.47328,200,20.996073
98.160335,200,21.406725
62.222245,135,21.684963
17.773977,54,21.795631
91.949498,200,24.87136
95.99979,200,29.469549
12.391256,45,30.508218
104.093778,200,35.104078
96.985072,200,39.710822
95.908624,200,44.321395
95.518225,200,48.929883
67.206576,142,52.204935
17.167121,34,52.992249
4.708241,20,53.452954
91.722278,200,58.053202
92.767861,200,62.657731
4.982498,20,63.123096
92.697253,200,67.730207
37.694039,111,70.303053
95.958337,200,74.910126
17.098116,51,76.078552
97.426448,200,80.674258
5.667687,21,81.151996
88.791846,200,85.756929
39.97979,104,88.166974
32.164298,49,89.297114
50.57996,152,92.788972
103.681236,200,97.384828
78.147197,200,101.982923
102.643829,200,106.575422
58.577213,200,111.174187
47.475817,113,113.762264
