#{"t_start": 1649568749.1678345, "env_id": "HopperBulletEnv-v0"}
r,l,t
20.814472,12,1.618668
20.221545,6,1.627198
19.617161,9,1.639407
21.192246,9,1.651587
18.177229,7,1.661469
20.881788,13,1.679392
25.398939,17,1.702525
22.797803,19,1.727137
16.846226,7,1.737055
17.271012,12,1.753517
18.832862,11,1.769172
21.092136,24,1.800513
17.936637,5,1.807955
18.894592,11,1.82358
19.774323,15,1.843932
16.447191,9,1.856214
26.228337,16,1.878361
20.291914,15,1.898079
19.292299,11,1.913242
18.548704,13,1.930562
16.898668,9,1.943202
14.440933,7,1.95322
19.704286,8,1.9651
18.590097,6,1.973689
24.288815,15,1.993483
19.222257,14,2.011966
19.165833,7,2.021635
18.813587,18,2.045031
19.268676,7,2.054991
21.072083,8,2.066378
20.829548,17,2.08905
20.983215,10,2.102608
19.534657,8,2.113753
18.711565,9,2.126503
18.695087,6,2.135832
22.297865,13,2.153051
18.945849,8,2.165126
22.571113,11,2.179983
18.039219,11,2.194838
18.102339,7,2.204508
15.992282,18,2.229437
23.353952,12,2.246488
24.034125,21,2.27382
17.826666,9,2.285902
18.745353,8,2.297007
16.173017,8,2.308528
18.595753,13,2.326832
17.401575,6,2.335461
16.728859,14,2.355145
21.877481,9,2.367568
21.736507,11,2.382485
19.263312,10,2.39613
17.009302,10,2.410238
17.899951,12,2.426676
23.557057,14,2.446127
23.353164,13,2.463396
16.271102,9,2.47613
20.799225,11,2.491489
23.752234,12,2.508746
20.422933,14,2.527781
19.886835,10,2.542253
17.752206,12,2.558739
20.51304,10,2.573557
19.515533,9,2.586056
23.854286,18,2.611027
10.715135,13,2.629472
18.31503,13,2.646969
18.970128,9,2.659437
20.856641,11,2.675286
18.406693,19,2.701344
16.931981,7,2.711141
18.764572,10,2.72482
23.355708,14,2.744369
21.030115,11,2.759222
22.513843,18,2.783933
18.420041,7,2.793718
17.101752,10,2.807703
18.782679,7,2.817729
19.711471,15,2.8383
17.402491,15,2.857991
21.406197,13,2.875981
20.72463,12,2.892767
17.123089,6,2.901848
18.874063,7,2.911975
19.840852,7,2.922951
18.885464,8,2.93406
37.298849,30,2.973428
17.101391,11,3.504178
