r,l,t
20.22761,12,1.551814
22.895234,17,1.573515
19.398427,10,1.58646
24.658312,21,1.612964
19.803502,11,1.62764
24.530387,16,1.648173
23.652168,14,1.666276
20.539153,14,1.68401
19.184988,11,1.698617
30.48643,18,1.721426
22.890175,19,1.745374
16.117217,5,1.752315
20.079093,9,1.764389
18.203205,8,1.775004
20.93581,12,1.79029
17.446884,13,1.806855
19.232351,11,1.821909
17.085851,7,1.831458
18.665454,12,1.846906
18.842587,15,1.866236
20.201643,7,1.87591
15.929846,12,1.891287
16.858914,9,1.902946
18.154973,17,1.924605
16.924018,11,1.939158
18.552169,13,1.955884
20.19981,11,1.970269
18.637468,6,1.978481
20.597764,8,1.989424
20.461337,11,2.0038
21.629333,10,2.01692
15.534359,9,2.028571
18.42641,10,2.042062
17.899922,7,2.051554
22.538414,9,2.06342
16.111295,7,2.072612
18.973975,12,2.08841
18.451542,11,2.102578
14.64996,13,2.119466
12.933093,12,2.135105
18.933628,11,2.149708
16.243844,7,2.159117
22.069839,20,2.184458
19.191073,15,2.203483
19.43528,10,2.216876
25.209254,14,2.234883
22.575726,16,2.255388
18.477898,8,2.266039
21.569952,9,2.27821
20.617109,10,2.291461
22.21224,20,2.316443
20.531731,17,2.33827
19.039323,9,2.350495
23.075574,16,2.370879
26.034663,17,2.392577
20.028831,12,2.408067
22.422404,14,2.426121
26.371457,16,2.446477
20.8382,17,2.46789
20.536738,13,2.484563
21.924985,13,2.501531
20.820079,15,2.520674
21.217717,9,2.53264
19.05516,8,2.543269
19.127167,13,2.560532
17.841238,8,2.571313
18.642676,7,2.580834
17.542504,7,2.590303
28.609529,24,2.620882
20.382972,9,2.632796
21.110515,9,2.644625
19.1744,9,2.656548
20.246177,12,2.672461
20.969994,14,2.690325
12.984041,22,2.718034
22.081465,15,2.737296
15.957301,12,2.753463
23.628348,10,2.76679
20.013268,9,2.778572
25.695193,15,2.797515
20.84724,16,2.818435
20.865439,10,2.831683
19.073855,9,3.354163
17.437242,10,3.568136
15.809154,23,4.061762
17.446239,6,4.188719
17.2923,7,4.338001
12.754598,4,4.424855
16.618059,5,4.533582
13.046641,4,4.619398
13.607454,4,4.70642
15.491429,5,4.815481
15.433918,5,4.923065
16.219667,5,5.029448
16.276426,5,5.139514
16.251682,5,5.249175
16.417384,5,5.358518
15.102679,5,5.467223
16.287545,5,5.576471
15.183302,5,5.684505
16.018364,5,5.794152
15.699845,5,5.9012
14.700631,5,6.006948
16.610828,5,6.113925
16.075804,5,6.221822
15.833403,5,6.329542
15.033751,5,6.43683
16.050298,5,6.547587
16.020053,5,6.655738
16.12481,5,6.762459
15.943867,5,6.87234
15.671696,5,6.979685
16.061255,5,7.087381
16.628395,5,7.194919
16.868355,5,7.301605
15.077922,5,7.40897
16.721699,5,7.517404
16.61555,5,7.625056
16.703678,5,7.732579
16.477479,5,7.841156
17.07279,5,7.951018
17.010679,5,8.057249
16.825747,5,8.164871
17.961974,5,8.272737
16.283723,5,8.380244
17.091384,5,8.487601
17.635183,5,8.596998
17.40952,5,8.70629
17.415655,5,8.815783
13.86219,4,8.902533
14.00517,4,8.990708
17.112004,5,9.100055
17.691586,5,9.208336
13.694207,4,9.295488
17.289118,5,9.404922
15.194403,5,9.511792
13.359553,4,9.600796
16.860951,5,9.709612
17.566428,5,9.819236
13.906539,4,9.905694
17.363695,5,10.012957
13.758371,4,10.100907
17.565106,5,10.208148
17.413483,5,10.315113
17.760378,5,10.425519
18.129921,5,10.533571
13.224984,4,10.620833
16.728614,5,10.730847
17.479508,5,10.839999
14.072887,4,10.926537
13.905776,4,11.011559
17.206578,5,11.119046
17.995411,5,11.230201
18.378581,5,11.33784
17.897533,5,11.445982
17.946601,5,11.654034
18.644516,5,11.762426
19.676067,5,11.869025
18.11866,5,11.976569
18.399049,5,12.08495
18.321668,5,12.193338
18.40715,5,12.300939
19.033826,5,12.408083
19.408028,5,12.515922
19.669457,5,12.623964
18.637081,5,12.731578
18.500437,5,12.843273
18.919783,5,12.950031
19.148331,5,13.059867
18.584971,5,13.171376
15.366948,5,13.277822
18.145069,5,13.387811
17.970099,5,13.495431
19.140887,5,13.603546
19.38998,5,13.709829
18.488517,5,13.817001
18.354576,5,13.925065
18.481636,5,14.03189
17.922594,5,14.137758
18.796448,5,14.245008
17.648751,5,14.351373
18.509445,5,14.461339
18.824849,5,14.568926
18.511758,5,14.675857
19.411579,6,14.805315
17.929269,5,14.912358
19.22138,5,15.019976
20.08154,6,15.146602
18.611462,6,15.279171
17.386284,5,15.387162
18.064342,5,15.493394
17.964823,5,15.599406
18.133211,5,15.707334
18.430493,5,15.814438
18.208855,5,15.921806
19.915405,6,16.050838
18.398151,5,16.160143
18.02937,5,16.266881
20.561313,6,16.39529
17.991847,5,16.502518
18.405547,5,16.611084
19.017612,5,16.719085
17.634616,5,16.830859
17.769242,5,16.937724
20.085575,6,17.070742
17.480288,5,17.177481
20.093553,6,17.304327
18.672303,5,17.412049
20.222399,6,17.545191
19.89022,6,17.676693
18.45961,5,17.785171
18.278998,5,17.892284
20.98637,6,18.021291
18.326641,5,18.129083
17.699229,5,18.235837
19.51733,6,18.363399
18.02306,5,18.470936
20.371702,6,18.599503
20.445238,6,18.728826
18.471692,5,18.836856
20.914257,6,18.964411
20.06312,6,19.092383
20.180151,6,19.222745
18.223759,5,19.330533
20.993752,6,19.45963
19.98409,6,19.587772
20.695594,6,19.720318
20.793638,6,19.855809
18.033451,5,19.962541
18.043224,5,20.068648
18.110439,5,20.175835
21.168253,6,20.303218
21.110827,6,20.4326
19.468166,6,20.56185
19.539905,6,20.69234
20.607145,6,20.823942
20.452306,6,20.953514
19.828889,6,21.081666
20.911026,6,21.210103
20.445166,6,21.337495
20.512159,6,21.465938
21.53554,6,21.593453
18.383325,5,21.703285
19.531141,6,21.833963
19.679306,6,21.961282
20.103022,6,22.091047
20.432105,6,22.220324
20.474932,6,22.348059
18.159193,6,22.477819
20.67344,6,22.609238
20.206241,6,22.738205
20.743999,6,22.867398
21.737658,6,22.995819
20.483437,6,23.125691
19.698899,6,23.253895
20.7904,6,23.381075
20.442634,6,23.510244
18.385301,6,23.639624
18.019026,6,23.766808
20.382719,6,23.894925
21.448788,6,24.024045
19.818225,6,24.151151
18.148974,6,24.279155
19.509,6,24.406943
20.17172,6,24.540275
21.075728,6,24.66822
20.490262,6,24.795942
20.503767,6,24.924877
18.703275,6,25.051908
20.109864,7,25.203115
20.27213,6,25.331382
19.612535,6,25.461429
20.97936,6,25.590262
21.597652,6,25.717258
19.359065,6,25.845976
19.809677,6,25.976576
21.227229,6,26.1066
20.503513,7,26.256959
19.467956,6,26.388497
20.626752,7,26.536868
22.150211,7,26.688459
18.983084,6,26.818359
19.672943,6,26.948295
21.562996,7,27.101426
21.172813,7,27.254089
21.576047,7,27.409917
21.527643,7,27.563868
20.9498,7,27.714757
20.480631,7,27.864624
19.921779,6,27.993195
21.435483,7,28.144325
19.820791,7,28.294579
20.429691,8,28.466131
20.815203,7,28.615628
20.25192,7,28.765458
22.066485,8,28.938324
20.777496,7,29.089097
20.882539,7,29.239538
21.780647,8,29.409752
20.761014,7,29.564149
23.620977,15,29.884449
31.652779,22,30.359097
31.174376,23,30.85436
21.24197,8,31.025191
31.4022,19,31.437752
27.725056,17,31.800933
32.310143,22,32.278857
40.599311,26,32.832253
31.179285,20,33.260512
36.723331,24,33.771266
49.124516,50,34.846413
23.752296,45,35.809077
37.333337,24,36.3249
45.080919,33,37.03032
89.811924,100,39.17077
43.231651,31,39.835636
43.586968,35,40.586444
43.488059,36,41.351572
53.588328,54,42.512311
42.810449,44,43.461572
46.616049,71,44.977161
49.132289,46,45.964299
51.677823,48,46.995116
40.703158,31,47.657052
59.668572,58,48.910921
42.835663,31,49.578807
41.69009,30,50.216273
45.921871,38,51.027533
74.592425,80,52.743511
43.68192,32,53.423909
44.130305,40,54.284498
43.354697,32,54.975529
103.00456,100,57.104603
76.058762,67,58.562569
59.180943,53,59.692703
53.375366,49,60.745269
45.831351,39,61.575866
39.272251,36,62.344373
48.320521,41,63.21687
97.54075,100,65.369316
36.245647,36,66.146807
39.134552,35,66.898208
105.692094,100,69.049167
38.633581,37,69.836947
73.455304,71,71.35951
35.446934,35,72.109413
104.3339,100,74.251138
72.772721,51,75.353576
103.086911,89,77.255006
54.988848,43,78.179532
92.141476,71,79.699569
66.794511,44,80.646296
67.28275,45,81.607278
