r,l,t
16.188191,15,3.041905
13.176499,8,3.068652
14.417551,10,3.102439
17.163306,17,3.159315
18.186836,15,3.209572
18.494058,14,3.252017
19.729408,17,3.304286
15.226632,16,3.351176
16.365346,17,3.405034
13.270963,11,3.439257
18.290368,15,3.485095
16.13256,13,3.523356
12.43576,8,3.549458
12.362336,10,3.581643
12.874802,7,3.605891
17.715265,18,3.66099
16.318352,14,3.707278
13.135163,9,3.736473
16.42676,17,3.787791
15.872976,13,3.83334
17.719552,14,3.881624
16.448252,13,3.921912
21.099659,22,3.989585
19.51138,15,4.035968
12.029437,7,4.061393
14.165499,11,4.099998
21.614337,23,4.170193
15.613682,13,4.209557
15.909357,10,4.241013
16.225069,12,4.280017
16.717267,12,4.315742
15.540748,10,4.350837
16.116498,14,4.398862
15.556548,16,4.448315
17.919695,13,4.487864
14.914349,14,4.534781
15.346457,10,4.568608
18.07026,19,4.634482
12.621973,8,4.662817
13.967561,8,4.688776
15.251134,11,4.730603
21.030418,20,4.796149
15.128664,11,4.831853
17.367776,13,4.871451
13.655987,10,4.905224
14.870971,14,4.947914
15.114364,11,4.982438
22.182632,22,5.047846
13.795604,8,5.074583
15.32221,11,5.114516
15.499222,10,5.146798
17.986731,14,5.19479
15.677426,12,5.237831
21.132914,25,5.319381
19.81045,16,5.36698
13.935205,9,5.396092
12.276502,7,5.418963
12.866107,8,5.446286
15.882571,12,5.481972
21.851918,27,5.566422
15.197851,13,5.610385
15.379761,12,5.648278
23.745711,24,5.721368
15.640961,13,5.765864
16.179833,13,5.809231
17.920007,19,5.870575
18.284945,16,5.919491
13.409466,9,5.948442
15.244274,9,5.97907
14.999691,11,6.013935
14.48628,11,6.051644
16.715459,11,6.090398
13.343959,10,6.125831
18.19793,17,6.181533
15.081418,10,6.216224
16.187469,18,7.474998
8.209432,9,7.817929
6.384993,11,8.210006
6.51658,8,8.506445
6.384669,6,8.733364
6.551213,5,8.925217
8.309926,6,9.13147
7.823745,5,9.3094
8.088386,5,9.492795
7.36555,5,9.67957
7.347813,5,9.876286
7.483856,5,10.063092
7.885753,5,10.254445
7.752576,5,10.44335
7.860388,5,10.632575
7.945875,5,10.828797
7.8113,5,11.013057
7.821994,5,11.210048
8.031096,5,11.422335
7.581601,5,11.628366
7.837644,5,11.817009
7.93314,5,12.009911
9.038025,5,12.193872
7.923156,5,12.380858
8.285116,5,12.555295
8.764635,5,12.747148
8.023954,5,12.931498
9.228531,5,13.120129
9.596807,5,13.302967
8.850091,5,13.485909
9.480396,5,13.676648
10.275859,5,13.86851
11.640358,6,14.084996
9.566706,5,14.271309
11.750187,6,14.492928
11.983304,6,14.71438
12.117886,6,14.940449
11.801329,6,15.155038
12.076437,6,15.3888
11.528355,6,15.608865
12.138912,6,15.833543
11.342625,6,16.058985
12.153551,6,16.401891
11.197021,6,16.632244
11.346974,6,16.85124
12.014193,6,17.07686
12.005381,6,17.294724
11.498921,6,17.521628
11.035789,6,17.755828
11.729347,6,17.978669
11.94366,6,18.181574
11.499432,6,18.396726
12.597899,6,18.618531
11.966566,6,18.8388
12.316118,6,19.069346
12.579455,6,19.279773
11.602913,6,19.511465
12.56977,6,19.72183
12.392155,6,19.938612
11.850624,6,20.159792
12.80983,6,20.387031
12.2255,6,20.621862
12.442071,6,20.845168
12.834735,6,21.071478
12.912978,6,21.288985
12.446171,6,21.513222
12.659444,6,21.742123
12.863561,6,21.953602
13.058822,6,22.170051
13.189582,6,22.396714
12.140837,6,22.617771
12.468854,6,22.84244
12.059746,6,23.067975
12.885995,6,23.286216
12.759862,6,23.514997
12.355344,6,23.728866
12.821425,6,23.960038
12.275624,6,24.182309
13.169525,6,24.400716
12.621053,6,24.634777
12.594881,6,24.877484
12.346095,6,25.086355
12.615815,6,25.306294
12.142675,6,25.546931
12.238665,6,25.772373
11.811861,6,25.998512
12.86639,6,26.211746
11.917742,6,26.443848
12.334529,6,26.662521
12.558107,6,26.891851
12.396085,6,27.102805
12.249325,6,27.335296
11.991884,6,27.562464
11.679851,6,27.792785
11.696764,6,28.024574
12.07655,6,28.258018
12.189843,6,28.465873
11.996425,6,28.693583
12.119162,6,28.917914
12.286051,6,29.131243
12.197307,6,29.352736
13.136587,7,29.62286
11.752203,6,29.853359
12.205648,6,30.080353
13.730132,7,30.352291
12.023937,6,30.582885
13.066064,7,30.842492
13.223659,7,31.100593
12.646323,6,31.32444
11.632191,6,31.54182
12.011797,6,31.766546
11.97152,6,31.988003
11.426413,6,32.206365
11.988649,6,32.438433
10.643228,6,32.658984
13.284539,7,32.926529
13.433355,7,33.178523
12.961851,7,33.456171
12.059928,6,33.685312
12.821526,7,33.94611
13.680341,7,34.204552
13.392339,7,34.478251
11.967324,6,34.733839
12.209847,6,34.958731
12.876543,7,35.219672
13.990208,7,35.572831
13.455721,7,35.880794
12.642515,7,36.256344
13.730592,7,36.629204
11.998397,6,36.875409
13.721898,7,37.139803
12.57694,7,37.382014
13.830802,8,37.663115
14.597196,8,37.963329
14.441766,8,38.258015
12.962379,7,38.520094
13.234296,7,38.797252
13.590321,7,39.065993
14.56701,8,39.34765
12.461146,7,39.608483
13.305418,7,39.865553
13.713951,8,40.162101
13.752963,8,40.447025
13.221418,7,40.714165
14.667392,8,41.029879
14.058631,8,41.339239
16.25785,10,41.705055
14.959394,9,42.036793
14.906732,9,42.365387
14.594257,9,42.701809
15.864715,10,43.074524
15.303237,9,43.405425
15.860361,10,43.766772
17.096533,11,44.175517
13.641379,8,44.472788
20.701119,20,45.224374
15.928274,11,45.629522
16.519446,11,46.04545
16.467191,12,46.499659
23.045551,21,47.280763
19.110798,14,47.805345
23.686636,20,48.514234
23.628905,18,49.238768
20.327612,17,49.87605
20.359605,16,50.463454
22.356392,19,51.156681
22.75322,21,51.943644
22.714375,19,52.613803
19.152952,20,53.352906
25.476173,22,54.187033
21.814289,19,54.899643
24.861655,20,55.613278
26.245883,21,56.392767
22.745814,18,57.076252
26.671012,21,57.844796
25.363496,21,58.646079
23.191802,19,59.335195
25.698281,19,60.024845
24.95396,19,60.736361
23.715307,20,61.462506
22.98591,20,62.194777
27.478224,23,63.035052
24.189124,20,63.794139
23.451062,19,64.513936
23.519104,19,65.229306
25.163219,21,66.012094
24.264072,20,66.732205
26.479245,23,67.561424
25.744388,21,68.349636
25.141465,20,69.09562
27.406006,21,69.852249
22.814568,19,70.554331
24.906294,19,71.23988
24.01604,19,71.942054
25.520166,20,72.690073
23.050712,21,73.448726
21.885391,19,74.158689
25.48045,21,74.94233
24.126724,20,75.675503
24.715968,21,76.455756
29.644708,24,77.33402
28.988113,24,78.203667
27.651205,24,79.071057
27.575677,22,79.891003
31.203136,26,80.829472
29.212041,25,81.74338
32.225411,27,82.751787
27.181545,22,83.566974
29.407934,26,84.49879
31.411463,25,85.439599
34.117591,29,86.540082
31.657983,26,87.542554
34.72424,30,88.641853
39.33302,31,89.764212
50.426383,39,91.175074
30.189705,67,93.635913
51.957036,45,95.289515
69.856568,60,97.561134
58.831894,49,99.389926
82.756467,73,102.083188
46.687868,37,103.441641
27.298881,25,104.371073
36.439358,31,105.547217
44.194447,35,106.822132
32.567781,31,107.950467
32.770262,28,108.997036
36.506057,32,110.181958
40.52555,36,111.529897
47.74488,37,112.875448
55.380828,44,114.498184
66.05675,52,116.448553
81.651114,61,118.716965
85.56447,72,121.314339
65.129413,52,123.232177
84.140946,65,125.650966
87.884605,76,128.496455
63.159741,50,130.323593
44.475079,71,132.982404
74.224571,60,135.179556
92.18508,77,138.019714
67.912246,54,139.992818
82.018597,73,142.652688
40.043628,94,146.033317
79.893609,63,148.377363
88.631536,74,151.136179
75.688908,61,153.429312
88.104624,80,156.366564
82.100568,71,159.036816
87.614605,100,162.711846
74.247226,100,166.423393
81.950217,100,170.097739
82.473025,100,173.753428
80.422224,74,176.463592
51.664753,100,180.203852
86.739922,100,183.913601
83.462243,76,186.682744
77.17551,68,189.170577
75.872219,64,191.522485
71.776005,61,193.777119
72.483937,64,196.160958
34.133845,86,199.342472
100.329727,90,202.647905
68.788959,57,204.791417
79.607842,65,207.181919
75.863014,67,209.729451
80.250842,70,211.853112
94.232054,93,215.285339
72.272546,62,217.625386
84.065061,72,220.273574
68.686552,63,222.608764
73.477211,64,224.954707
59.928403,54,226.988109
58.543792,100,230.688594
63.20495,55,232.737193
65.880695,61,234.965077
66.40544,62,237.289026
71.970823,63,239.639149
48.016365,87,242.841668
64.123997,60,245.05895
55.814308,55,247.068396
58.252235,54,249.039049
73.939792,67,251.491755
100.0477,94,254.926686
104.200113,100,258.597677
70.155806,61,260.840168
61.798719,52,262.756024
86.869695,82,265.725747
81.343708,65,268.113885
56.303404,51,270.030395
84.632319,76,272.879824
63.726672,51,274.755279
68.318719,56,276.86906
68.90733,56,278.921658
95.936963,89,282.221786
66.422488,59,284.4294
56.66594,51,286.320148
94.451752,85,289.482966
48.693339,46,291.190622
61.358275,56,293.238802
64.934376,55,295.24569
77.136701,66,297.753097
78.783186,70,300.358422
72.020592,62,302.645016
58.797213,53,304.602588
77.701654,65,307.001734
60.881905,70,309.615899
83.438257,68,312.144649
68.659876,53,314.125489
69.154878,53,316.087562
79.455163,63,318.431987
75.260316,56,320.482376
106.295491,98,324.102331
68.290095,52,326.018732
67.590278,54,328.020877
73.902346,56,330.100626
71.254828,55,332.160457
98.406091,87,335.365117
71.569152,56,337.430647
83.13972,71,340.057004
71.500596,52,343.172665
84.101255,61,345.455267
83.064606,59,347.631878
69.677335,53,349.631182
72.640299,59,351.815453
79.322775,62,354.105979
97.045623,81,357.159683
82.727871,67,359.642549
71.817623,52,361.545683
78.235245,59,363.729805
74.631658,63,366.051157
99.830027,89,369.338679
97.355656,86,372.458671
86.869479,78,375.261909
70.631945,56,377.322482
78.127126,60,379.537328
61.102191,46,381.233993
105.406245,94,384.738637
110.981799,100,388.430192
84.862693,64,390.770164
94.785871,74,393.506905
93.60508,100,397.181649
25.197778,40,398.735083
104.289788,92,402.173761
87.741816,63,404.534707
89.80969,72,407.17328
78.884875,64,409.521436
94.241133,82,412.622199
86.58338,71,415.230955
25.346838,41,416.73274
77.855144,60,418.938788
79.635057,58,421.035357
79.073317,60,423.235953
75.803594,57,425.292494
35.657524,44,426.960691
37.999524,49,428.782318
83.578967,62,431.10681
106.40768,90,434.410389
73.518388,55,436.461908
101.54698,100,440.14134
83.704175,63,442.476594
93.667477,67,444.96611
98.680847,77,447.876285
68.748419,48,449.640484
105.329967,92,452.98517
89.206413,75,455.778789
79.070166,63,458.155264
89.182035,100,461.900961
96.325221,85,465.081183
44.32248,59,467.25898
69.040126,48,469.058928
91.62499,76,471.835439
89.482139,72,474.475997
98.961434,88,477.772132
65.068223,51,479.653263
75.788852,94,483.107217
90.158558,77,485.894353
91.451322,100,489.639174
42.804862,64,492.013893
74.656094,54,494.032714
73.867055,52,495.953113
72.063725,58,498.049615
42.830287,70,500.643565
75.999074,59,502.861661
76.534114,60,505.048988
89.350744,76,507.826757
44.107902,70,510.397648
66.507305,49,512.241238
73.1053,57,514.370763
80.375141,63,516.70459
27.705063,55,518.729197
91.137217,78,521.600514
90.406767,74,524.354702
78.348134,65,526.749817
75.529467,68,529.284333
73.216507,64,531.607011
78.204925,61,533.909402
104.901006,100,537.632744
94.337816,76,540.442873
101.409886,92,543.858788
74.353811,59,546.040472
101.405898,93,549.505891
67.67624,52,551.42773
57.144092,98,555.04721
83.00465,93,558.484679
79.812282,100,562.184566
70.528248,100,565.881831
84.753736,100,569.400147
65.172404,93,572.650813
17.763892,61,574.949127
28.706957,69,577.537845
64.758699,96,581.03591
98.384866,78,583.927746
77.430013,60,586.178556
53.820222,46,587.862782
107.62545,100,591.534658
78.359709,62,593.844358
45.382561,100,597.457918
75.895788,58,599.652981
70.625281,57,601.733434
92.987398,70,604.305918
97.754521,78,607.173208
81.462914,67,609.691639
79.725441,100,613.42225
39.000942,93,616.868651
90.772717,73,619.508345
87.991464,72,622.182606
82.017807,63,624.464633
109.476096,94,627.950023
85.075982,63,630.247625
99.92483,81,633.193381
103.728251,100,636.883154
98.240575,79,639.840641
92.028713,75,642.604428
88.525859,100,646.275003
114.156442,90,649.616165
30.136132,41,651.131985
108.836139,89,654.414792
100.116504,88,657.676831
80.881446,60,659.850954
78.694285,63,662.161823
88.779433,64,664.550965
87.027206,73,667.253259
79.070857,62,669.552166
87.855593,69,672.078532
97.021683,100,675.714719
101.252193,77,678.563656
79.40809,58,680.705104
91.247798,69,683.240805
92.139649,74,685.990469
78.119402,55,688.066405
81.268115,63,690.374789
73.782781,63,692.647784
71.581517,57,694.723221
83.069176,63,697.072714
118.554566,100,700.795875
90.247669,70,703.37508
85.960642,63,705.72131
89.341668,67,708.165715
89.816062,74,712.266204
75.975998,54,714.280124
82.999006,60,716.495738
80.95893,61,718.719276
66.683349,55,720.737373
71.417028,59,722.894895
105.990981,100,726.586907
69.822232,54,728.555872
92.340635,72,731.201659
76.078746,57,733.318815
99.319638,85,736.476734
72.563371,64,738.861455
71.851096,53,740.814893
83.512051,68,743.353354
77.977575,63,745.649694
70.954886,60,747.864758
73.729561,55,749.889086
52.492875,51,751.770585
102.705869,85,754.906514
90.071332,68,757.388712
92.420643,80,760.345437
100.377503,85,763.526926
111.90107,98,767.174321
81.018692,64,769.546772
104.264601,100,773.214814
98.634383,84,776.343946
76.469181,55,778.369236
93.955268,79,781.277779
86.615221,68,783.729877
49.885854,74,786.453401
65.858128,54,788.452431
29.666786,100,792.142984
102.044703,86,795.279288
95.359947,77,798.112033
103.014032,78,801.014927
111.18351,95,804.532231
94.763342,74,807.276028
98.552058,82,810.273582
85.05076,66,812.71347
66.957074,48,814.469598
75.678235,58,816.613241
103.271268,84,819.745371
92.05268,73,822.451737
79.302557,62,824.705565
96.117274,78,827.592685
85.396629,69,830.156165
73.262902,58,832.275456
85.161448,65,834.659645
80.429169,61,836.901268
66.522079,49,838.68582
84.146218,65,841.066091
84.408243,65,843.435458
42.379991,88,846.597117
86.757341,67,849.064394
87.651325,68,851.578262
107.548822,84,854.686324
104.679476,86,857.878003
86.124119,71,860.479833
94.466583,76,863.276905
56.202594,100,866.941501
72.821367,56,869.0413
92.42747,72,871.723496
59.93501,49,873.52577
81.829938,67,876.040657
43.997207,99,879.695459
71.100005,59,881.862374
70.288674,100,885.603512
25.720757,81,888.590553
86.691674,68,891.119199
85.684496,100,894.822978
74.456779,59,897.016518
102.084383,86,900.230199
98.716231,100,903.875079
91.818503,75,906.640159
