#{"t_start": 1649134590.9575868, "env_id": "Walker2DBulletEnv-v0"}
r,l,t
21.797983,19,1.559769
16.302333,15,1.585185
11.868846,7,1.597641
18.064106,13,1.6196
12.972733,8,1.633992
14.713895,11,1.652928
13.405746,9,1.668818
16.709748,13,1.69091
15.764352,15,1.716569
14.811947,17,1.744936
18.340657,16,1.772363
17.063764,13,1.794769
16.104843,13,1.817044
15.55801,18,1.847394
17.524054,18,1.878007
14.189414,9,1.893415
19.612854,19,1.92612
15.426822,13,1.948054
16.467225,14,1.97184
15.82972,11,1.990754
14.680925,12,2.011949
18.022468,13,2.034218
16.115495,19,2.065992
13.888411,8,2.080077
17.771322,15,2.10603
14.87265,16,2.133557
18.06791,17,2.161974
22.418703,22,2.198845
15.634613,11,2.2179
19.595996,17,2.246677
15.807948,12,2.267161
14.090271,11,2.286019
18.072997,14,2.310169
13.432793,11,2.329023
18.322013,19,2.360829
13.840602,12,2.381346
15.781235,12,2.402262
28.264719,34,2.458734
18.120034,13,2.481051
19.633865,19,2.512489
29.759003,35,2.570825
15.349798,15,2.596655
12.666341,7,2.609405
12.868644,8,2.623668
13.521268,9,2.64
24.134002,30,2.690558
11.916483,12,2.711129
18.122788,13,2.733214
13.752233,9,2.749203
18.549658,15,2.774961
15.958274,13,2.797316
14.409812,14,2.821278
15.007744,11,2.840561
16.546473,12,2.861165
14.219512,10,2.87845
14.833293,10,2.895944
16.766195,17,2.926122
16.248903,12,2.946672
18.434602,18,2.976851
15.815525,14,3.000717
14.015612,10,3.019087
14.681091,9,3.034957
13.865577,10,3.051998
17.634898,15,3.077501
14.970111,11,3.097184
22.821439,22,3.134712
14.482066,8,3.149631
13.413175,10,3.167121
16.681467,18,3.197948
12.393895,9,3.213648
15.667673,11,3.232797
14.491743,8,3.695872
14.027346,11,3.939492
10.74511,9,4.13711
8.09226,8,4.313672
8.88383,9,4.514683
8.483545,7,4.670511
8.031244,6,4.80777
9.540088,7,4.966754
8.766459,6,5.098926
7.164157,5,5.209608
7.625057,5,5.321497
8.234273,5,5.432577
8.323744,5,5.543514
7.869448,5,5.657
6.761336,5,5.771444
6.936964,5,5.882331
7.588208,5,5.994912
7.81255,5,6.106869
7.230876,5,6.223668
6.996762,5,6.334404
7.568336,5,6.448291
8.84565,6,6.582497
7.874601,5,6.694673
6.702225,5,6.805354
8.464592,5,6.917485
8.089438,5,7.031204
8.257168,5,7.142034
8.852773,5,7.256197
8.59917,5,7.368973
10.159777,6,7.503081
10.571833,6,7.636458
11.383945,6,7.769167
12.863092,6,7.90682
11.496183,6,8.040057
12.180777,6,8.174179
9.347305,5,8.286959
11.085219,6,8.428514
11.816735,6,8.564763
12.560148,6,8.698871
12.855597,6,8.83438
12.498629,6,8.969527
11.396631,6,9.105604
12.093127,6,9.23913
12.191548,6,9.4656
9.814258,5,9.578698
9.710103,5,9.690422
10.109534,5,9.801017
10.366217,5,9.914288
12.406468,6,10.051248
9.984403,5,10.163266
10.084577,5,10.2745
12.542524,6,10.408434
12.651555,6,10.546862
12.470491,6,10.680085
12.297344,6,10.816499
12.192009,6,10.950435
12.987999,6,11.084878
12.292731,6,11.218772
12.281897,6,11.352921
11.816529,6,11.486023
12.665435,6,11.621392
11.807773,6,11.755274
12.685099,6,11.893286
12.992892,6,12.029423
12.640739,6,12.165037
12.480885,6,12.299214
11.44509,6,12.433383
12.353813,6,12.569941
12.286728,6,12.705587
12.224949,6,12.844356
11.822009,6,12.977634
12.477306,6,13.114584
11.808894,6,13.252125
11.189746,6,13.387148
12.130338,6,13.521313
11.578162,6,13.654028
11.795684,6,13.790297
11.696403,6,13.926545
11.439729,6,14.061329
12.187393,6,14.195217
11.763138,6,14.333167
11.08971,6,14.466461
11.649147,6,14.603252
12.085167,6,14.737455
12.35053,6,14.872914
11.26337,6,15.007768
12.114598,6,15.141553
11.707185,6,15.275315
12.939639,7,15.433246
11.766253,6,15.567618
11.621216,6,15.704423
12.460161,6,15.83892
12.201333,6,15.973195
12.09252,6,16.10547
12.224304,6,16.240162
13.861931,7,16.395388
11.70129,6,16.528186
12.202417,6,16.663176
12.191924,6,16.800233
11.735029,6,16.934919
11.442849,6,17.071126
11.061141,6,17.206104
11.60295,6,17.344414
11.706101,6,17.479849
13.825541,7,17.635919
11.76801,6,17.7714
12.234934,6,17.905321
11.718668,6,18.038341
12.72785,6,18.174396
13.334387,7,18.33097
11.414247,6,18.464669
13.127806,7,18.620347
11.867226,6,18.753055
12.251809,6,18.887693
11.811107,6,19.022118
11.859697,6,19.157962
12.221351,6,19.291395
13.688137,7,19.44887
12.781719,7,19.605968
12.292371,7,19.76012
11.190501,6,19.894258
13.211123,7,20.049734
14.154645,8,20.228408
11.004775,6,20.366022
12.86974,7,20.521729
13.512053,7,20.677345
12.973106,7,20.838676
