#{"t_start": 1652907219.4178698, "env_id": "AntBulletEnv-v0"}
r,l,t
1495.682776,1000,6.629754
963.909357,1000,10.676124
1005.343279,1000,14.716312
1528.848297,1000,18.699791
1280.947486,1000,22.715409
1131.354738,1000,26.693473
1485.06559,1000,30.710509
1558.846171,1000,34.677693
1135.278065,1000,38.67439
905.358726,1000,42.704144
1237.359097,1000,46.686289
1178.726183,1000,50.729808
1595.620813,1000,54.685708
945.561665,1000,58.72412
913.286681,1000,62.726906
956.136899,1000,66.762907
1593.201172,1000,70.727972
1187.572969,1000,74.732022
914.531401,1000,78.791264
739.825823,1000,82.943764
828.99184,1000,87.087405
1162.290195,1000,91.210055
1157.002137,1000,95.965361
1303.003281,1000,99.946422
1481.939207,1000,103.921108
1510.120498,1000,107.921113
1542.363849,1000,111.921755
1664.066251,1000,115.887598
1052.814033,1000,119.902897
1919.88129,1000,123.851951
961.421516,1000,127.902362
595.465375,1000,131.937143
1385.314496,1000,135.930061
902.807428,1000,139.924499
705.959468,1000,143.953997
989.46193,1000,148.026315
1135.320638,1000,152.029094
1056.53813,1000,156.025451
1654.41261,1000,160.019686
1636.574295,1000,164.010385
1088.033206,1000,168.042907
1565.359136,1000,172.027776
1400.465748,1000,176.041348
1124.093176,1000,180.059789
1772.388765,1000,183.985797
1281.577817,1000,188.007822
956.423702,1000,192.039917
1362.825252,1000,196.032573
1001.936389,1000,200.075102
1038.942258,1000,204.086122
1599.657488,1000,208.026877
785.635475,1000,212.096407
1310.368138,1000,216.079625
1319.286029,1000,220.089094
804.017588,1000,224.137259
1434.794968,1000,228.135281
974.407904,1000,232.146668
1147.315633,1000,236.150485
1667.60045,1000,240.16954
923.72465,1000,244.19926
1297.010004,1000,248.267302
1140.643825,1000,252.323072
906.582942,1000,256.350628
1505.624786,1000,260.371025
1064.332096,1000,264.330164
1221.669344,1000,268.365521
1196.182137,1000,272.346863
882.087111,1000,276.379299
1097.374038,1000,280.367164
894.072249,1000,284.425293
1714.768602,1000,288.397159
1187.921885,1000,292.437297
1342.714761,1000,296.445883
1180.302594,1000,300.434542
1030.268562,1000,304.467225
892.098226,1000,308.508793
1043.060799,1000,312.579506
874.812334,1000,316.620495
983.267278,1000,320.667995
987.018656,1000,324.697293
783.558372,1000,328.745819
1575.836896,1000,332.685302
622.625939,1000,336.704413
1074.143125,1000,340.741858
1376.516123,1000,344.754906
1709.390236,1000,348.727875
1172.262827,1000,352.709488
1184.352219,1000,356.683705
969.334239,1000,360.68858
674.330519,1000,364.68786
1006.800376,1000,368.709388
602.505545,1000,372.738828
1292.905316,1000,376.744725
1133.903505,1000,380.746033
1193.00208,1000,384.6448
942.287919,1000,388.532694
671.607158,1000,392.16005
1185.286054,1000,396.129023
1324.144153,1000,400.120371
1134.909088,1000,404.113326
1507.715204,1000,408.090766
1774.548319,1000,412.060365
1421.434098,1000,416.083015
1431.024633,1000,420.028113
1672.059208,1000,423.937167
1427.408265,1000,427.915512
1657.161843,1000,431.878213
1497.252326,1000,435.872496
902.415741,1000,439.906545
1004.031809,1000,443.915076
1389.615298,1000,447.954705
941.299693,1000,451.976926
1226.789631,1000,455.989168
1115.681734,1000,460.007349
1100.33634,1000,464.044121
989.160899,1000,468.052738
1195.497823,1000,472.073255
1775.465111,1000,476.036151
688.962842,1000,480.058446
1107.696633,1000,484.086002
895.576829,1000,488.093865
1731.25834,1000,492.033763
985.867766,1000,496.024291
1560.745685,1000,500.014182
1191.91188,1000,503.985142
1035.215472,1000,508.024163
1743.765379,1000,512.103048
1060.265998,1000,516.150112
1025.285,1000,520.231905
1096.290412,1000,524.234564
984.492976,1000,528.25308
956.591881,1000,532.27078
