r,l,t
2259.153415,1000,5.337686
2274.58071,1000,8.220137
2262.427101,1000,11.119484
2279.142134,1000,14.025185
2272.296316,1000,16.911278
2250.000787,1000,19.791242
427.276084,213,20.410614
2266.226968,1000,23.282423
2260.202925,1000,26.175981
2215.727612,1000,29.069261
2262.638032,1000,31.971783
2281.06482,1000,34.863854
2279.528352,1000,37.746981
2275.255366,1000,40.617021
2258.143675,1000,43.497471
2327.926499,1000,46.403363
2216.2346,1000,49.276299
2311.355492,1000,52.171407
2294.441626,1000,55.061177
2220.266639,1000,57.972821
2263.048842,1000,60.875859
2232.25086,1000,63.767354
2165.021254,937,66.481803
2307.794134,1000,69.370292
2279.910463,1000,72.275096
2254.206482,1000,75.171403
2273.688731,1000,78.047071
2256.090242,1000,80.948701
2289.475945,1000,83.847411
2279.400077,1000,86.73103
2288.576848,1000,89.638307
2299.418583,1000,92.649583
2260.617662,1000,95.680625
2283.297149,1000,98.681696
2271.156937,1000,101.56994
2335.606536,1000,104.491868
2255.944937,1000,107.385528
2277.610649,1000,110.285373
2253.839539,1000,113.180739
2254.691272,1000,116.083792
2271.613904,1000,118.984892
2296.976411,1000,121.881903
2271.905102,1000,124.744943
2265.316255,1000,127.638937
2263.681179,1000,130.544234
2275.350686,1000,133.470674
2268.216325,1000,136.382645
2250.264725,1000,139.275223
2254.018294,1000,142.157843
1296.868254,603,143.923578
2279.105448,1000,146.816396
2228.515118,1000,149.694201
2291.977626,1000,152.569507
2295.220464,1000,155.470469
2290.604453,1000,158.392395
2302.681224,1000,161.279546
2283.032802,1000,164.168916
2249.984141,1000,167.087108
2238.093779,1000,169.969629
2260.760841,1000,172.891644
2277.410137,1000,175.776385
2294.223212,1000,178.696189
2267.910449,1000,181.571103
2231.422906,1000,184.474873
2276.325533,1000,187.370863
640.066642,326,188.314528
2230.571211,1000,191.219168
2224.788868,1000,194.113757
2262.928969,1000,197.031324
2244.284654,1000,199.978088
2240.610431,1000,202.876904
1345.195251,606,204.651616
2286.822668,1000,207.552301
2285.139005,1000,210.60245
2281.16594,1000,213.526489
2272.342935,1000,216.422323
2287.991326,1000,219.318282
2248.2516,1000,222.220216
2271.491444,1000,225.103211
2260.642056,1000,227.989995
2259.097151,1000,230.920727
2263.184651,1000,233.807683
2276.568881,1000,236.741779
2300.725337,1000,239.641727
2268.064963,1000,242.543489
2254.127645,1000,245.462988
1373.734348,620,247.257034
2296.112544,1000,250.141131
2294.629643,1000,253.022573
2268.978896,1000,255.952119
2257.949197,1000,258.84622
2296.615048,1000,261.734937
2133.471369,955,264.469635
2288.57268,1000,267.363028
2267.769209,1000,270.260143
2294.929652,1000,273.149561
312.641978,169,273.635148
2282.387655,1000,276.532498
2261.569432,1000,279.430167
2265.081466,1000,282.337214
2282.159346,1000,285.222794
2260.148507,1000,288.111223
2257.110124,1000,290.998873
2237.758937,1000,293.887616
302.416456,162,294.369143
2206.784041,966,297.166636
2297.828497,1000,300.040306
2274.720019,1000,302.958975
498.793727,251,303.688756
2270.514044,1000,306.593427
2262.6303,1000,309.480494
2263.052082,1000,312.387712
2269.964185,1000,315.275445
2289.292239,1000,318.146873
2218.328737,1000,321.031381
1254.243137,570,322.662352
2281.533663,1000,325.545589
2240.311479,1000,328.482509
1384.329994,622,330.315104
2275.852627,1000,333.236554
2221.873095,1000,336.127493
2273.867259,1000,339.049265
2265.957852,1000,341.926559
2284.246272,1000,344.820045
2283.307736,1000,347.740915
2260.083863,1000,350.648062
2256.493487,1000,353.530046
2275.190206,1000,356.41327
2271.687435,1000,359.31789
312.382144,160,359.787256
2230.100601,1000,362.668315
2237.301957,1000,365.526705
2260.556826,1000,368.434865
2271.914008,1000,371.325805
2293.481724,1000,374.209876
2194.204771,962,376.994108
2208.495031,1000,379.917819
2282.050829,1000,382.815786
2252.727151,1000,385.734406
2261.10648,1000,388.616503
2263.119206,1000,391.500351
2213.562701,1000,394.373366
2242.30264,1000,397.260623
2294.815193,1000,400.164234
2257.533847,1000,403.078927
2268.515366,1000,405.968923
2280.797853,1000,408.868427
687.313617,329,409.807649
2191.602949,970,412.622165
2268.76841,1000,415.511746
2255.865342,1000,418.419688
980.758236,465,419.748566
2279.064959,1000,422.615706
2282.892226,1000,425.511771
2243.745178,1000,428.398593
2284.983599,1000,431.311324
2250.580148,990,434.21926
1478.763735,674,436.176045
2230.142961,1000,439.107491
2276.680035,1000,442.014938
2293.089543,1000,444.929193
2265.111175,1000,447.82195
737.706709,349,448.829254
2220.895553,1000,451.711592
163.41321,87,451.978021
2215.572216,1000,454.863643
2259.922279,1000,457.755183
2308.373528,1000,460.668535
2279.473192,1000,463.563637
2259.491964,1000,466.503914
2218.807792,1000,469.401395
2310.198534,1000,472.305576
2253.840602,1000,475.191591
2265.988202,1000,478.102346
2254.332675,1000,481.022437
