#{"t_start": 1652882440.2234643, "env_id": "Walker2DBulletEnv-v0"}
r,l,t
857.367701,1000,6.611927
241.036243,192,7.369091
860.216766,1000,11.251892
112.419279,84,11.593737
127.646648,99,11.981088
59.490316,44,12.142493
146.973186,130,12.675202
54.719912,40,12.825833
811.745994,1000,16.624733
243.862908,199,17.377315
852.124801,1000,21.051672
77.100483,50,21.232389
403.168965,387,22.691474
106.422202,79,22.977495
58.586271,43,23.132977
108.581197,81,23.441807
60.927861,45,23.620737
245.140072,219,24.428454
103.456707,77,24.710128
845.357777,1000,28.51942
64.450485,48,28.692214
173.350326,138,29.191395
254.775028,212,29.933001
229.671549,177,30.58556
534.074911,555,32.854452
848.007036,1000,36.756483
109.744739,83,37.098243
226.618997,188,37.844211
217.70642,181,38.547315
809.382647,1000,42.367863
106.080867,82,42.711432
767.423428,859,46.056473
234.574451,196,46.768139
62.989643,47,46.948833
265.542462,217,47.729601
260.637835,217,48.556482
63.21374,48,48.722538
54.627066,41,48.883046
70.853901,53,49.079407
72.692621,48,49.286732
260.229141,228,50.143121
67.185261,53,50.334863
755.950735,880,53.599114
295.205625,277,54.590762
61.056226,45,54.782743
162.923309,133,55.317292
105.447232,80,55.615286
78.746379,51,55.796637
248.403587,209,56.61128
244.368791,213,57.395306
108.629305,84,57.713081
79.299635,55,57.903981
222.85737,185,58.573836
211.985799,172,59.251375
212.525048,173,59.919335
213.147317,176,60.618292
866.578031,1000,64.51404
117.767285,90,64.85194
843.980328,1000,68.773924
55.959246,40,68.920582
871.248221,1000,72.813825
834.023862,1000,76.707066
447.740858,438,78.425868
274.088124,234,79.299276
854.239813,1000,83.125745
71.311782,53,83.342593
62.723423,47,83.525963
55.39989,40,83.68046
272.244413,234,84.538279
808.313104,1000,88.189551
798.818457,1000,92.038211
61.024943,45,92.277409
57.063051,41,92.443827
103.079033,75,92.71502
72.93527,47,92.886255
58.757033,45,93.052241
68.733883,51,93.226094
204.641146,158,93.879493
60.534836,46,94.055047
860.619314,1000,97.979418
122.264123,98,98.384084
281.872287,252,99.349782
220.535432,176,100.099211
82.246998,53,100.29003
87.264384,59,100.515991
84.697055,58,100.729176
92.75845,64,100.956748
206.072953,168,101.650489
199.861231,158,102.218243
74.738268,49,102.420518
195.510854,152,103.008558
814.23122,1000,106.763725
223.024676,187,107.491533
403.924314,396,109.107857
70.513328,46,109.272837
215.013618,167,109.886082
70.110449,46,110.072714
302.473824,257,111.055325
429.990489,416,112.772171
243.491409,210,113.606091
321.412537,256,114.561519
811.368471,1000,118.313364
277.752668,242,119.211849
109.310773,83,119.506074
179.918303,164,120.072399
747.283567,1000,123.778256
55.251033,40,123.925066
869.645394,1000,127.373574
110.100436,83,127.662881
231.383431,192,128.318864
61.11343,47,128.462857
62.380052,46,128.653763
269.667198,232,129.531275
80.030294,52,129.693615
73.480868,47,129.843913
181.769613,143,130.286315
851.296879,1000,133.614195
56.227465,41,133.764782
135.532284,105,134.155414
110.603025,82,134.43664
96.747399,68,134.668859
112.555839,84,134.976637
223.489899,183,135.635382
68.469402,53,135.829363
72.715554,47,136.004123
266.382463,224,136.85919
747.378777,887,140.865498
784.616258,1000,147.457676
191.66246,148,148.442523
620.075906,706,153.000977
237.316408,194,154.166381
200.535293,211,155.4906
88.653,73,155.983854
88.763935,62,156.403975
213.470835,200,157.738875
823.38706,1000,164.367592
75.069156,48,164.69795
227.421894,187,165.998861
800.739237,1000,172.476565
859.328636,1000,179.048599
212.339122,183,180.247752
233.667536,195,181.50065
408.034861,397,184.15781
73.017082,47,184.458633
81.939771,54,184.820926
316.774162,281,186.504191
56.436041,40,186.754487
57.977718,41,187.03656
101.204413,84,187.579632
189.288536,152,188.56142
54.986653,40,188.830959
68.091446,53,189.184059
77.418617,53,189.515904
294.280605,257,191.22282
238.503663,211,192.574631
109.820386,85,193.133086
807.843662,1000,199.656186
785.513439,1000,206.226403
283.040924,254,207.902151
312.041959,247,209.468953
295.596476,262,211.200091
796.412778,1000,217.76145
861.201013,1000,224.202825
60.489749,46,224.494777
858.57026,1000,231.017685
213.539227,174,232.107516
56.729005,41,232.341075
57.010396,41,232.618896
63.074524,48,232.948257
280.56161,247,234.557672
218.563683,181,235.6911
183.728088,157,236.729578
56.509886,41,237.004364
235.912325,195,238.291672
71.071533,46,238.604193
744.825618,797,243.808388
116.436879,86,244.351792
325.211081,304,246.388588
74.202008,48,246.686729
809.379441,1000,253.101748
57.984329,41,253.353516
102.576294,75,253.845335
185.120348,146,254.770329
757.760065,1000,261.302133
213.665111,177,262.450099
99.573724,75,262.947061
80.214934,52,263.301473
846.245807,1000,269.821063
79.782742,67,270.224254
70.338428,46,270.541048
88.54878,61,270.958782
72.681138,50,271.308651
58.045343,43,271.610183
409.964564,374,274.061686
61.570924,46,274.374689
57.309349,42,274.656554
58.485222,43,274.950095
842.86377,1000,281.492647
900.223745,1000,287.670336
61.773643,46,287.944887
755.264863,1000,294.192067
291.7256,270,295.944634
108.182031,83,296.500005
245.06118,205,297.896676
290.97408,260,299.61517
395.687509,382,302.10332
802.657773,1000,308.594964
217.291674,179,309.562026
99.733219,73,310.032442
182.233858,164,311.114794
243.720349,202,312.453453
292.316403,262,314.184045
80.181212,53,314.524602
228.883817,189,315.786452
109.794641,81,316.303069
93.418117,66,316.748069
244.029497,208,318.12646
