r,l,t
1937.75757,1000,6.687491
1633.970219,1000,10.713408
1738.857805,1000,14.698685
1777.810463,1000,18.711564
1552.490685,1000,22.781851
1599.518927,1000,26.788958
1818.784718,1000,30.828646
1529.897144,1000,34.901599
1249.151586,1000,39.406185
1809.282543,1000,43.373704
1407.572142,1000,47.34266
1633.737676,1000,51.31988
1459.20784,1000,55.28068
1800.631185,1000,59.284932
1887.002086,1000,63.254654
1316.837779,1000,67.232796
1615.491859,1000,71.23514
1709.004724,1000,75.217677
1355.145841,1000,79.228003
1822.149577,1000,83.22802
1421.467969,1000,87.357797
1753.522754,1000,91.473276
1355.284086,1000,96.205771
1576.760424,1000,100.27672
1770.093744,1000,104.24769
1953.215825,1000,108.230605
1403.123004,1000,112.240672
1866.885657,1000,116.262413
1903.403926,1000,120.212425
1785.08129,1000,124.215302
1379.794796,1000,128.236403
1329.378435,1000,132.29785
1764.686381,1000,136.291625
1730.142917,1000,140.330972
1428.419165,1000,144.310877
1808.534002,1000,148.331338
1461.457961,1000,152.31094
1838.826921,1000,156.223943
1788.598015,1000,160.270807
1077.678307,1000,164.268994
1802.12716,1000,168.253318
1795.786709,1000,172.229402
1724.617427,1000,176.235076
1593.887947,1000,180.245888
1410.40326,1000,184.257112
1486.087098,1000,188.258081
1817.805653,1000,192.248686
1482.315177,1000,196.227726
1823.131905,1000,200.244897
1914.966751,1000,204.250942
1853.947955,1000,208.187617
1777.876197,1000,212.146719
1365.481849,1000,216.201623
1455.485989,1000,220.208607
1373.81154,1000,224.19177
1962.276022,1000,228.194049
1772.878687,1000,232.138377
1754.620969,1000,236.140375
1654.071975,1000,240.144641
1878.48981,1000,244.119887
1175.517339,1000,248.14333
1870.255338,1000,252.13958
1312.765236,1000,256.204837
1810.911365,1000,260.200038
1900.767646,1000,264.165046
1783.120122,1000,268.131826
1864.309614,1000,272.136218
1281.549221,1000,276.168421
1710.475913,1000,280.188243
1682.957641,1000,284.191635
1562.107345,1000,288.159654
1777.29652,1000,292.154456
1825.844203,1000,296.166832
1821.950507,1000,300.10103
1869.099801,1000,304.086058
1832.346592,1000,308.076301
1154.771242,1000,312.109492
1912.479976,1000,316.074754
1832.499847,1000,320.081369
1622.63119,1000,324.034841
1871.384496,1000,328.013246
1836.463204,1000,332.001063
1748.072023,1000,336.061667
1343.550167,1000,340.100358
1751.872069,1000,344.167482
1284.50785,1000,348.186014
1567.232204,1000,352.231658
1878.614806,1000,356.207207
1549.576278,1000,360.224692
1855.007191,1000,364.210878
1751.594457,1000,368.202328
1810.00116,1000,372.226123
1802.940459,1000,376.204256
1617.562658,1000,380.156837
1737.931842,1000,384.12651
1320.24349,1000,388.141854
1412.517739,1000,392.160368
1567.251943,1000,396.177544
1783.122885,1000,400.192102
1844.617001,1000,404.203399
1755.026919,1000,408.174728
1386.585625,1000,412.149953
1346.589596,1000,416.159181
1785.561697,1000,420.153938
1317.267629,1000,424.192325
1703.605246,1000,428.175494
1496.000419,1000,432.135829
1766.999785,1000,436.137625
1750.822638,1000,440.139103
1432.814608,1000,444.140764
1789.87287,1000,448.125355
1210.69895,1000,452.168192
1322.512892,1000,456.194443
1709.937401,1000,460.194429
1184.462943,1000,464.227705
1413.989286,1000,468.211412
1419.870514,1000,472.241277
1798.627787,1000,476.24418
1761.177342,1000,480.194169
1196.717746,1000,484.207818
1598.120703,1000,488.180917
1656.805145,1000,492.129787
1903.211876,1000,496.108568
1352.639864,1000,500.085677
1600.274663,1000,504.103254
1824.845727,1000,508.107143
1347.85211,1000,512.153592
1792.272225,1000,516.147588
1503.148503,1000,520.202996
1895.046529,1000,524.246408
1405.58847,1000,528.275919
1781.033545,1000,532.22539
1192.05726,1000,536.26345
1352.183581,1000,540.26748
1934.479515,1000,544.199879
1914.114252,1000,548.182713
1091.650767,1000,552.230808
1594.207373,1000,556.215261
1394.654711,1000,560.196831
1838.446298,1000,564.172374
1915.395917,1000,568.159897
1947.529386,1000,572.151962
1794.911859,1000,576.136606
1627.490694,1000,580.095291
1422.413951,1000,584.075257
1516.098619,1000,588.106919
1903.528712,1000,592.080297
1833.884021,1000,596.056539
1141.858988,1000,600.085008
1850.597994,1000,604.046326
1352.468233,1000,608.057042
1881.867675,1000,612.019706
1751.668021,1000,615.973564
1576.578179,1000,620.002096
1714.947754,1000,623.960835
1520.859052,1000,627.948864
1934.772902,1000,631.886525
1469.722268,1000,635.842221
1768.367406,1000,639.777027
1580.32345,1000,643.719122
1623.807075,1000,647.683193
1792.661715,1000,651.650162
1761.334072,1000,655.602483
1540.125947,1000,659.566494
1806.001063,1000,663.429767
1796.178901,1000,667.386276
1822.733319,1000,671.339978
1443.880494,1000,675.294018
