#{"t_start": 1651184531.0562944, "env_id": "AntBulletEnv-v0"}
r,l,t
56.641013,100,1.805437
42.096879,100,2.109585
43.115896,100,2.311879
55.749851,100,2.510894
17.732527,46,2.603023
43.677633,100,2.803201
65.355098,100,3.001067
58.111025,100,3.200684
65.687867,100,3.397405
39.539626,100,3.598746
47.381722,100,3.798665
54.075197,100,3.994678
53.526985,100,4.195842
54.345628,100,4.393659
40.310906,100,4.593818
50.415645,100,4.79387
43.039096,100,4.996116
41.324683,100,5.199231
54.009768,100,5.399352
46.070235,100,5.59883
61.616928,100,5.796638
41.706453,100,5.994902
47.976342,100,6.195242
49.348963,100,6.395348
54.876833,100,6.593796
36.224862,100,6.795396
46.127736,100,6.996124
52.804452,100,7.195896
49.050798,100,7.396209
54.289691,100,7.594616
46.703252,100,7.795467
45.761927,100,7.996742
50.697988,100,8.195741
42.779222,100,8.39712
47.814711,100,8.599757
58.182105,100,8.799994
67.382486,100,8.998126
46.299895,100,9.198603
53.005027,100,9.39849
50.628772,100,9.59955
58.524078,100,9.798946
50.052799,100,9.998682
40.465817,100,10.197361
45.940514,100,10.399095
51.140836,100,10.595869
54.176214,100,10.796279
50.98702,100,10.996688
39.121546,100,11.199272
45.626749,100,11.401647
63.437693,100,11.599572
49.250192,100,11.800901
58.435909,100,11.997263
62.501199,100,12.195397
45.56419,100,12.393342
5.731312,21,12.434164
65.864958,100,12.632715
63.556205,100,12.830432
44.510098,100,13.029865
52.452526,100,13.23131
5.863928,20,13.27044
52.964702,100,13.47097
56.717048,100,13.669203
62.062897,100,13.866677
54.743826,100,14.06763
45.485245,100,14.271059
50.520706,100,14.471458
51.636985,100,14.671642
56.413074,100,14.871718
48.885756,100,15.071397
42.33746,100,15.273636
49.983527,100,15.473538
63.363127,100,15.671632
39.826734,100,15.873366
49.243597,100,16.074593
49.941376,100,16.273978
56.941794,100,16.473888
55.558236,100,16.674627
59.482549,100,16.875336
54.27643,100,17.07613
44.443283,100,17.278323
60.645644,100,17.477848
40.992688,100,17.679143
46.458763,100,17.880762
46.31013,100,18.082518
45.477134,100,18.285423
37.382555,84,18.45443
43.466482,100,18.653175
41.539656,100,18.856466
58.004252,100,19.056127
59.124531,100,19.255542
61.977701,100,19.457047
51.200281,100,19.660456
43.733372,100,19.863755
44.278035,100,20.066593
50.116176,100,20.267984
42.244562,100,20.46878
52.218335,100,20.670858
50.639773,100,20.870626
54.453867,100,21.072253
57.17484,100,21.272817
39.228079,100,21.473606
46.52602,100,21.675712
45.848581,100,25.564687
47.722227,100,27.84551
58.175217,100,30.11544
55.863514,100,32.391014
54.736342,100,34.666751
46.520277,100,36.950527
49.100508,100,39.244833
47.183232,100,41.515059
53.115595,100,43.784334
45.262679,100,46.06354
51.565455,100,48.334434
40.786274,100,50.612264
54.268794,100,52.904488
40.964471,100,55.173843
44.224701,100,57.444404
42.114596,100,59.720821
47.407359,100,61.995733
59.22577,100,64.270031
38.589647,100,66.540587
42.408872,100,68.813603
46.218757,100,71.106107
42.910752,100,73.376335
49.416202,100,75.653303
46.319041,100,77.944571
48.755867,100,80.21542
59.741445,100,82.500529
22.378755,100,84.767504
47.770973,100,87.044181
53.952508,100,89.31236
50.835819,100,91.594213
41.174606,100,93.866791
48.427779,100,96.138763
38.958558,100,98.427403
41.27164,100,100.711443
44.272647,100,102.999103
42.378539,100,105.275056
40.070897,100,107.540386
57.227383,100,109.817472
62.89833,100,112.104891
55.571532,100,114.376614
43.825009,100,116.654136
35.026583,100,118.944021
48.560368,100,121.22336
35.469011,100,123.510396
27.157928,100,125.783362
38.179192,100,128.045052
41.832531,100,130.329468
39.841086,100,132.60786
42.55148,100,134.872223
40.335989,100,137.145047
41.764145,100,139.414425
54.194882,100,141.683913
36.973055,100,143.961152
38.743547,100,146.246397
43.896887,100,148.524878
37.152181,100,150.800295
53.441703,100,153.070992
53.541041,100,155.346739
2.140587,20,155.804177
41.319645,100,158.081072
54.314604,100,160.352431
29.580218,100,162.632658
31.017714,100,164.894133
36.441674,100,167.183828
45.730581,100,169.464148
7.223858,31,170.166307
35.811386,100,172.444916
30.816151,100,174.741829
29.451971,100,177.031138
42.484185,100,179.32054
47.038864,100,181.599065
66.157711,100,183.877601
36.283726,100,186.169272
45.389421,100,188.451364
59.000068,100,190.723897
36.130723,100,193.001663
49.508528,100,195.271905
41.305437,100,197.558683
44.926845,100,199.830553
52.374217,100,202.116685
62.229733,100,204.400263
42.18839,100,206.706757
66.639793,100,208.991691
37.671605,100,211.271551
31.305532,100,213.543381
42.237144,100,215.82667
19.644165,100,218.115869
50.193228,100,220.396698
39.664409,100,222.708956
45.496213,100,224.996827
38.845009,100,227.280726
60.683067,100,229.550094
50.021644,100,231.824961
41.276874,100,234.106876
67.867268,100,236.382677
73.554926,100,238.665793
50.287435,100,240.948819
46.321941,100,243.215223
53.210671,100,245.48952
47.509712,100,247.756242
60.828458,100,250.112025
41.802363,100,254.125647
74.296531,100,256.406912
69.823661,100,258.683302
36.882459,100,260.963618
46.693452,100,263.245495
55.592396,100,265.541335
26.000833,100,267.837143
47.560711,100,270.132988
21.669239,100,272.408281
21.929317,100,274.680695
57.112407,100,276.963684
61.885743,100,279.243503
52.904331,100,281.52693
36.728162,100,283.82406
49.516284,100,286.113739
45.536269,100,288.386276
39.188157,100,290.674934
44.071076,100,292.948561
44.126367,100,295.231468
44.631031,100,297.504959
37.782027,100,299.792681
39.815469,100,302.079654
40.023824,100,304.347228
35.089361,100,306.639333
53.82832,100,308.925369
57.614271,100,311.204126
49.553724,100,313.483627
48.596855,100,315.777395
49.917616,100,318.032773
50.087717,100,320.312546
37.380183,100,322.584812
77.95766,100,324.859604
66.899504,100,327.144962
53.344984,100,329.442938
54.75076,100,331.724504
41.518233,100,333.993564
48.056266,100,336.287174
62.005182,100,338.569311
85.485393,100,340.853396
57.722017,100,343.129154
53.035505,100,345.415381
65.610797,100,347.700371
53.069255,100,349.983692
30.089331,100,352.273832
31.916697,89,354.30875
40.88475,100,356.583106
46.759743,100,358.86792
42.816381,100,361.152669
59.628974,100,363.431885
36.262355,100,365.716125
39.338267,100,367.995986
36.462873,100,370.284664
45.445209,100,372.568172
45.459186,100,374.846975
54.702233,100,377.121184
58.472158,100,379.406601
52.062054,100,381.699717
53.479172,100,383.988978
45.236437,100,386.262285
47.344903,100,388.554617
57.027984,100,390.834551
55.965302,100,393.106858
55.24034,100,395.391819
40.226835,100,397.694203
47.979003,100,399.969008
46.187266,100,402.238044
77.991787,100,404.520676
41.181946,100,406.81033
82.660718,100,409.073147
33.738722,100,411.351673
58.670667,100,413.624128
38.577382,100,415.908167
41.713669,100,418.194305
49.015973,100,420.471954
34.758798,100,422.755628
62.884094,100,425.043572
50.218045,100,427.314011
74.782986,100,429.588661
37.276298,100,431.8692
49.505444,100,434.170591
63.814624,100,436.444069
65.412216,73,438.113958
57.516833,100,440.396943
20.375364,100,442.677311
30.932761,100,444.957884
76.606746,89,446.980644
23.804837,100,449.25679
39.697093,100,451.530282
40.907419,100,453.81128
50.624973,100,456.081373
24.014317,100,458.367364
27.308258,100,460.659697
63.002481,100,462.940144
47.770833,100,465.214015
58.830783,100,467.485209
58.095583,100,469.751857
50.109286,100,472.044606
47.976338,100,474.322569
58.717956,100,476.605949
54.135955,100,478.879621
50.284218,100,481.141911
50.432774,100,485.07147
38.152149,100,487.356114
53.596762,100,489.639844
45.752181,100,491.914135
54.232121,100,494.183973
52.159437,100,496.468943
56.89057,100,498.742736
75.609693,100,501.021834
62.707928,100,503.310241
50.257228,100,505.600291
53.140344,100,507.884728
