r,l,t
47.880925,100,1.811298
59.672684,100,2.097754
77.625842,100,2.296403
50.599725,100,2.496902
5.926327,20,2.536239
70.592237,100,2.73514
52.451545,100,2.934753
56.606783,100,3.134966
50.764424,100,3.334868
53.270331,100,3.534948
43.135711,100,3.7339
46.785424,100,3.932293
55.68757,100,4.131575
47.146854,100,4.330544
40.961538,100,4.531159
51.689851,100,4.732936
5.379423,20,4.772346
51.249131,100,4.973042
52.500965,100,5.175643
50.170223,100,5.377694
47.94692,100,5.578428
50.915831,100,5.779459
55.996159,100,5.978205
51.900622,100,6.178383
74.350278,100,6.376451
63.535213,100,6.575029
51.614713,100,6.77891
6.771353,22,6.822356
64.04885,100,7.021503
62.364083,100,7.220083
49.105813,100,7.421841
38.729777,100,7.62228
45.301892,100,7.824003
47.559511,100,8.023746
42.499825,100,8.225871
49.495834,100,8.428847
50.936634,100,8.631538
44.547347,100,8.833112
49.123511,100,9.035617
65.672234,100,9.231335
55.105079,100,9.431374
47.130754,100,9.63383
54.519337,100,9.835243
51.15587,100,10.037087
42.025366,100,10.24138
52.465335,100,10.442096
21.70171,41,10.524234
50.764382,100,10.726151
46.687181,100,10.926886
47.247842,100,11.130363
52.551392,100,11.331658
59.244582,100,11.532724
45.513113,100,11.73697
41.273688,100,11.940197
37.497072,100,12.144034
44.774911,100,12.345303
44.672938,100,12.549646
46.396374,100,12.753734
47.71097,100,12.954436
56.333898,100,13.154871
58.984954,100,13.353677
54.916536,100,13.554739
50.707979,100,13.75753
59.900289,100,13.95846
50.197402,100,14.161757
49.541273,100,14.362998
46.256431,100,14.564734
48.657927,100,14.766398
49.734901,100,14.968164
54.090765,100,15.168275
63.214633,100,15.368586
61.826619,100,15.567729
48.769302,100,15.770527
45.972302,100,15.973569
50.91285,100,16.176493
47.75579,100,16.378388
55.651116,100,16.580444
60.483501,100,16.781809
61.716314,100,16.981141
53.619291,100,17.183423
44.913076,100,17.388018
47.782488,100,17.590214
41.715128,100,17.795462
48.327974,100,17.999539
46.991669,100,18.202597
70.188909,100,18.40298
50.505808,100,18.603448
60.391882,100,18.805052
50.185066,100,19.007792
45.860178,100,19.208032
48.483791,100,19.411503
56.355214,100,19.614272
56.812928,100,19.8171
57.631133,100,20.018521
46.862315,100,20.223427
47.798046,100,20.427917
52.68263,100,20.63106
47.378277,100,20.835292
50.122305,100,21.038187
47.280324,100,21.242539
59.889154,100,21.442705
47.448512,100,21.646973
49.76042,100,24.120119
47.844125,100,26.417574
55.571721,100,28.703459
51.952295,100,30.98022
46.867575,100,33.257773
62.775739,100,35.539326
50.390849,100,37.840371
17.118108,45,38.868749
57.753337,100,41.159369
49.250957,100,43.432946
57.58335,100,45.708543
51.400351,100,47.992754
50.932283,100,50.270373
36.63753,100,52.562711
47.970239,100,54.846463
57.174903,100,57.119728
24.662986,76,58.85158
64.733605,100,61.128599
46.032683,100,63.425164
47.678727,100,65.711437
46.735325,100,67.993711
46.102355,100,70.284882
47.807562,100,72.581562
28.439875,69,74.161226
51.014086,100,76.450563
26.259038,100,78.731498
44.397072,100,80.997738
43.717798,100,83.279754
34.049867,100,85.556383
46.871122,100,87.834493
39.891054,100,90.119971
49.385593,100,92.405691
38.882608,100,94.698173
57.838147,100,96.993963
48.237459,100,99.278538
49.224015,100,101.546683
39.161884,100,103.841116
44.829033,100,106.114218
38.940182,100,108.395406
33.111261,100,110.681388
44.505374,100,112.962655
