r,l,t
17.773823,7,2.985273
17.751643,10,3.008588
19.721348,16,3.04695
22.077264,11,3.075886
19.481755,8,3.095069
21.739034,15,3.131172
20.65195,14,3.163985
17.403413,10,3.190202
23.415995,14,3.225239
23.368281,10,3.252294
17.095024,21,3.303252
17.438948,6,3.318673
18.002462,7,3.338376
27.975755,17,3.379505
17.865804,20,3.4243
19.622322,7,3.443121
19.703743,8,3.464791
25.511744,14,3.498715
15.99761,7,3.513293
17.76108,9,3.536642
19.028543,8,3.556818
20.09889,11,3.583238
20.317799,13,3.614124
18.273188,7,3.629362
12.482191,11,3.658649
21.747974,15,3.696099
20.190376,12,3.727269
20.113651,8,3.74575
20.030863,8,3.766432
17.738612,11,3.793727
24.24496,15,3.829176
17.141065,9,3.851954
18.899933,13,3.88289
20.66507,13,3.914011
22.364437,10,3.937441
21.970344,10,3.96223
19.074856,7,3.980661
20.623935,13,4.011788
17.51886,10,4.035686
21.996466,12,4.064128
22.048751,7,4.080999
23.817656,13,4.112768
17.962939,7,4.128949
14.924021,14,4.162197
16.716459,8,4.18212
17.505673,12,4.21003
17.810657,15,4.244449
19.511465,7,4.262113
20.583475,10,4.288105
18.835703,6,4.302677
32.473623,27,4.368729
22.890343,20,4.419227
19.171108,7,4.438474
24.366328,15,4.471399
20.813949,10,4.496666
17.635412,14,4.527692
16.80418,7,4.548043
23.560287,17,4.582605
19.110858,14,4.61731
24.887127,13,4.64909
22.755354,16,4.688761
24.377949,14,4.71992
21.166579,15,4.756334
19.847568,16,4.795542
20.047119,17,4.839767
24.303633,13,4.86941
20.088692,16,4.91023
20.837519,11,4.936706
20.454001,10,4.961183
19.472309,23,5.015797
19.955776,8,5.034637
20.502412,13,5.0636
20.139629,9,5.088128
22.117407,13,5.118309
18.388878,8,5.139712
19.009042,18,5.185501
17.357824,18,5.229649
17.179856,7,5.248935
19.415882,11,5.278135
22.417846,19,5.319727
22.610079,16,5.362273
17.415397,15,5.398868
16.439978,21,6.688841
19.223976,16,7.246827
17.946352,12,7.67445
18.28574,10,8.016618
15.129122,6,8.222123
14.210318,7,8.469745
15.431739,5,8.658035
15.462737,5,8.869258
12.328523,4,9.023306
12.746256,4,9.164712
12.790325,4,9.309808
12.486641,4,9.457311
12.884508,4,9.601
15.284665,5,9.799734
15.234,5,9.98985
15.369664,5,10.160685
12.443018,4,10.30068
16.499395,5,10.48423
14.895275,5,10.658711
16.523612,5,10.833321
15.495916,5,11.017543
15.607014,5,11.199765
16.184017,5,11.379454
16.464277,5,11.555168
15.822627,5,11.726124
16.179898,5,11.907378
16.190957,5,12.08153
15.926494,5,12.260897
16.07066,5,12.444574
15.152841,5,12.614555
