#{"t_start": 1653132045.6929355, "env_id": "HopperBulletEnv-v0"}
r,l,t
27.673444,19,1.546536
19.816977,9,1.558366
19.10449,11,1.572485
19.007247,7,1.581785
25.536301,15,1.601226
19.868181,7,1.610524
21.540555,7,1.619789
15.84072,7,1.629071
26.37927,17,1.65115
17.379901,6,1.659245
23.034799,10,1.672176
13.981165,11,1.686098
21.810583,12,1.701834
19.338924,8,1.712338
18.931223,7,1.721809
19.902186,7,1.731081
19.931559,8,1.741879
23.210918,11,1.756133
19.555728,6,1.764211
17.235379,18,1.787117
19.193253,7,1.796695
18.831256,10,1.809801
19.326662,18,1.832509
18.371864,10,1.845246
22.557249,16,1.866184
20.624183,13,1.882695
17.224305,7,1.89202
15.505366,7,1.901259
19.52928,15,1.920862
18.054701,8,1.931392
19.3721,14,1.949011
19.881974,13,1.965415
19.944065,8,1.976118
23.52909,16,1.996834
18.196045,9,2.008557
18.717216,12,2.023999
18.424696,6,2.032349
19.648282,9,2.044269
17.206132,9,2.05596
18.674781,14,2.073528
20.179534,8,2.08456
17.345465,7,2.093985
23.819496,13,2.110754
18.409716,25,2.141588
19.454113,8,2.152471
22.861526,16,2.172988
17.641968,6,2.181082
22.952322,13,2.197543
21.401029,10,2.211103
19.637816,6,2.219299
17.074809,6,2.227429
21.645862,8,2.237993
21.149853,8,2.248788
18.955568,7,2.258355
17.831198,14,2.276109
19.176927,17,2.297776
23.155788,23,2.326835
24.61183,14,2.344523
19.623747,7,2.353851
29.316426,21,2.380249
16.742882,8,2.391055
21.782567,15,2.410357
22.399655,13,2.427201
15.401914,16,2.447537
17.177672,8,2.458415
20.190757,12,2.473974
20.013952,10,2.48697
22.901239,12,2.502378
28.329824,28,2.537885
20.74651,17,2.559415
22.433026,12,2.575001
19.146158,14,2.592799
19.101608,10,2.606124
17.262016,6,2.614285
22.319585,13,2.630985
20.50685,8,2.64146
19.134321,17,2.663268
17.000038,6,2.671436
17.813565,16,2.691669
14.878836,7,2.700959
16.805444,9,2.713337
18.408268,9,2.725101
36.205801,24,2.755564
25.655457,19,2.779158
21.833703,13,2.796185
18.307716,15,2.815331
18.536186,9,3.366584
20.68578,11,3.601709
21.059787,9,3.795868
17.16733,9,3.989023
15.054002,5,4.09845
16.942258,7,4.251006
16.254072,5,4.357449
12.22978,4,4.443189
12.36755,4,4.528151
12.48244,4,4.61357
15.645802,5,4.720957
