r,l,t
16.750326,13,1.564083
23.114257,22,1.601821
13.554999,13,1.623976
17.433699,16,1.650894
19.774448,18,1.682198
14.946641,17,1.711141
20.152276,21,1.746668
16.710887,13,1.769355
20.502465,20,1.80395
15.932131,16,1.831684
14.055392,9,1.847791
12.439519,8,1.862149
16.997404,15,1.888316
16.247194,15,1.914446
21.216766,22,1.952326
13.211465,8,1.966769
14.053456,8,1.981649
15.120335,12,2.002724
18.320111,16,2.030591
17.909462,16,2.05857
17.426672,17,2.088284
16.993205,17,2.117159
15.268515,11,2.137045
17.495024,14,2.161515
19.188781,14,2.185932
14.448306,11,2.205191
16.077253,19,2.237919
14.267706,9,2.25404
22.350467,21,2.290212
25.437195,28,2.338452
19.544999,25,2.380873
15.44321,11,2.40035
24.304227,20,2.434817
13.172989,10,2.45256
22.223083,20,2.487082
15.131768,10,2.504683
18.317744,22,2.542136
14.650417,10,2.560043
14.269862,9,2.576216
16.002993,14,2.600168
18.64781,18,2.631703
11.237959,8,2.646083
12.40354,8,2.660584
17.793858,15,2.686574
11.764226,8,2.701343
11.956776,7,2.714036
19.06445,16,2.741895
21.496125,18,2.772786
16.262595,11,2.792259
13.004327,9,2.808212
12.146684,8,2.822494
14.380212,12,2.843481
19.691653,17,2.873171
14.687938,11,2.892585
13.566335,10,2.910544
14.733345,12,2.93119
11.99809,9,2.947724
18.62338,18,2.978522
20.984471,20,3.012227
19.3625,16,3.040202
14.26958,10,3.058067
17.587136,15,3.084352
14.613219,10,3.101918
18.927748,15,3.127789
17.050004,16,3.155596
29.382117,31,3.209346
21.23572,20,3.243949
14.502393,11,3.263352
11.542641,8,3.278185
20.98717,32,4.324559
27.455789,49,5.419474
11.019131,7,5.575122
8.966908,5,5.688658
8.542298,6,5.823262
8.357274,5,5.936771
7.951301,5,6.050024
8.438412,5,6.164074
7.932407,5,6.275568
8.321341,5,6.389304
8.160905,5,6.50057
8.144892,5,6.614209
8.491557,5,6.726913
8.789342,5,6.840045
8.864203,5,6.952307
9.184272,5,7.065187
10.92704,6,7.200711
9.539862,5,7.313809
9.539701,5,7.427543
9.027217,5,7.543046
10.544622,6,7.676685
10.441373,6,7.810343
10.839347,6,7.948104
11.055957,6,8.082281
8.988628,5,8.193036
8.516509,5,8.304292
10.156087,6,8.438871
10.839498,6,8.574794
11.79217,6,8.71396
9.979425,5,8.827174
