#{"t_start": 1652386200.896345, "env_id": "Walker2DBulletEnv-v0"}
r,l,t
16.999003,12,2.902207
11.938519,8,2.925775
14.899603,11,2.949529
12.288663,7,2.962685
16.816814,11,2.983553
20.930981,22,3.022247
15.496771,16,3.049184
23.525451,30,3.099641
12.92717,9,3.117246
13.019538,9,3.133205
14.538395,8,3.148847
17.416223,14,3.173114
13.911731,9,3.190574
19.053928,17,3.222008
14.285538,10,3.239278
14.114226,11,3.258263
15.598862,11,3.278742
22.038548,24,3.321003
16.442389,13,3.343154
16.399114,12,3.363594
14.815841,9,3.380879
15.729722,11,3.402382
18.310965,17,3.431792
13.771013,7,3.444279
18.263221,16,3.475103
14.222905,10,3.493161
21.702523,20,3.527627
14.009449,9,3.543411
12.930301,8,3.558818
18.714041,20,3.594988
18.188266,15,3.620713
21.895357,21,3.656433
13.050374,12,3.67868
15.742936,15,3.706748
15.648466,19,3.738892
28.369837,35,3.797584
22.366891,24,3.841835
21.767719,19,3.874447
19.199765,15,3.899997
15.032447,18,3.930079
17.003855,16,3.959995
15.894137,11,3.980264
17.752887,15,4.005975
12.941435,11,4.025056
13.453758,10,4.044147
14.587993,10,4.063607
14.980846,12,4.084873
14.305357,10,4.102069
14.24345,11,4.122643
17.930068,19,4.156833
17.509025,15,4.182534
15.645401,11,4.201854
20.012778,23,4.244551
18.326909,16,4.272673
14.247557,11,4.291545
15.565114,13,4.313875
17.072851,17,4.346058
14.587581,10,4.363762
21.330372,19,4.395985
13.209904,9,4.411733
15.678232,12,4.434238
16.495369,17,4.464754
17.633109,13,4.486856
17.308432,14,4.510715
14.809867,11,4.531852
14.794128,17,4.562506
17.188751,14,4.587695
17.557502,13,4.610253
19.261907,17,4.642553
16.930964,18,4.673257
10.707202,7,6.098956
10.485022,6,6.233755
9.419296,6,6.370574
9.170679,6,6.503021
8.296347,5,6.614632
7.580363,5,6.726057
7.335052,5,6.842193
7.399333,5,6.95499
7.612058,5,7.067171
7.777953,5,7.178944
7.874037,5,7.293675
8.291517,5,7.404802
7.4945,5,7.516251
10.685512,6,7.654326
8.077914,5,7.772387
8.350109,5,7.888868
9.856961,6,8.022369
9.37999,5,8.134544
9.736541,5,8.248948
8.862736,5,8.360543
11.887701,6,8.50177
11.508069,6,8.637733
11.042497,6,8.774693
10.87037,6,8.907386
10.700691,6,9.039934
11.167791,6,9.175037
11.174901,6,9.318084
9.096483,5,9.429817
11.881511,6,9.564369
11.772105,6,9.697774
9.978547,5,9.81577
9.460626,5,9.927107
10.806853,6,10.064025
10.970813,6,10.197956
11.502867,6,10.335926
11.418994,6,10.469949
10.744074,6,10.602744
9.607224,5,10.715606
9.447991,5,10.832846
9.579091,5,10.944711
9.887914,5,11.056961
11.852036,6,11.192346
11.030809,6,11.328989
11.741832,6,11.462594
9.594506,5,11.573147
9.805864,5,11.780171
9.732512,5,11.894575
9.879717,5,12.007197
10.335516,5,12.119803
11.716099,6,12.257165
10.481849,5,12.371148
10.292672,5,12.483265
12.4035,6,12.617047
11.389482,6,12.749824
10.573878,5,12.86368
10.507024,5,12.978024
10.267782,5,13.092001
10.581472,5,13.209634
12.142044,6,13.347986
13.03879,6,13.481193
11.997942,6,13.615314
12.363333,6,13.747966
12.100812,6,13.885165
12.363132,6,14.019367
