#{"t_start": 1648245070.9778228, "env_id": "HopperBulletEnv-v0"}
r,l,t
1.865688,3,0.970828
2.457425,3,0.994491
2.276001,3,1.017316
3.877384,3,1.042637
5.459017,3,1.06706
5.835198,3,1.090816
8.247258,3,1.114287
7.345263,3,1.138316
1.966786,3,1.160948
0.805907,3,1.187844
3.079904,3,1.375126
3.894464,3,1.397914
2.104031,3,1.419653
0.632558,3,1.44494
1.630299,3,1.469067
4.681163,3,1.493862
2.209125,3,1.517112
3.22911,3,1.538752
3.133576,3,1.564542
1.976618,3,1.591328
5.701075,3,1.614614
8.174145,3,1.640409
4.234059,3,1.663654
6.083538,3,1.687853
-1.65929,3,1.710656
1.846689,3,1.733937
1.418725,3,1.757834
4.666475,3,1.781046
3.444022,3,1.804271
2.962317,3,1.826684
4.976254,3,1.848563
6.758517,3,1.871203
2.963872,3,1.89718
6.154514,3,1.918232
3.067336,3,1.940775
1.111179,3,1.964218
1.229894,3,1.987094
4.480647,3,2.00906
1.370176,3,2.033383
8.64024,3,2.057674
1.205752,3,2.079011
1.604059,3,2.104434
1.777601,3,2.133494
-1.109605,3,2.156931
0.743937,3,2.179845
4.955175,3,2.201165
4.274528,3,2.223399
9.183934,3,2.247077
1.621375,3,2.270756
1.581412,3,2.291661
2.395199,3,2.315801
0.254315,3,2.33822
5.837049,3,2.359745
0.706948,3,2.384167
2.664328,3,2.406584
5.632142,3,2.430889
5.092352,3,2.454612
0.496068,3,2.480267
7.063136,3,2.504006
4.61453,3,2.526428
3.643854,3,2.551293
2.946323,3,2.573937
2.348545,3,2.596231
2.14777,3,2.620727
5.434327,3,2.646108
5.796979,3,2.670552
2.97549,3,2.690939
1.782039,3,2.714453
-1.606776,3,2.738254
2.616676,3,2.760085
5.560176,3,2.7843
6.120557,3,2.810618
8.827457,3,2.834013
3.674061,3,2.857906
5.014296,3,2.881578
4.330205,3,2.90277
-3.577178,3,2.924995
-0.447765,3,2.946723
2.231082,3,2.973472
4.992755,3,2.994452
6.543208,3,3.019354
3.679904,3,3.04124
9.000654,3,3.061749
3.689471,3,3.087254
1.988564,3,3.111365
3.538882,3,3.140748
-1.847298,3,3.163336
0.610881,3,3.184561
3.782065,3,3.20615
1.822623,3,3.230447
1.433152,3,3.254574
1.923309,3,3.275415
9.218628,3,3.301256
7.170299,3,3.323998
6.625375,3,3.346988
6.775,3,3.368147
1.331021,3,3.392681
1.809106,3,3.416059
5.783011,3,3.440686
0.542127,3,3.463748
4.998841,3,3.485888
5.291504,3,3.508271
3.097589,3,3.53176
2.953459,3,3.552215
4.524922,3,3.579635
3.188273,3,3.604259
0.54995,3,3.631445
-0.670446,3,3.653792
3.834182,3,3.676678
1.274207,3,3.700452
1.35225,3,3.72292
2.682136,3,3.746328
6.10062,3,3.771451
0.784401,3,3.796846
2.584801,3,3.820094
4.921283,3,3.84354
3.317505,3,3.867215
6.041883,3,3.893998
3.902862,3,3.915318
1.651394,3,3.941039
5.492307,3,3.963729
3.136532,3,3.987929
4.430028,3,4.009559
6.016507,3,4.034161
0.161461,3,4.057689
0.431299,3,4.078511
2.745882,3,4.099766
4.154145,3,4.121136
2.395375,3,4.150354
4.183169,3,4.175216
5.464027,3,4.196483
0.949258,3,4.220602
1.934575,3,4.244615
2.379916,3,4.268379
6.852258,3,4.291444
-0.209614,3,4.314194
1.598575,3,4.33673
2.12985,3,4.360304
2.915662,3,4.388953
3.471957,3,4.414244
1.385966,3,4.441183
1.742969,3,4.462564
0.954362,3,4.483563
9.189791,3,4.504903
6.323863,3,4.529489
4.884792,3,4.554391
2.733216,3,4.577015
3.949405,3,4.600827
6.546175,3,4.62311
1.448271,3,4.64795
2.55529,3,4.670482
3.859171,3,4.697357
3.907278,3,4.720762
-1.153531,3,4.744702
4.481788,3,4.766751
4.298128,3,4.788431
2.746401,3,4.810985
2.066965,3,4.834449
2.755816,3,4.857542
3.447972,3,4.880835
2.822868,3,4.907057
2.317445,3,4.930857
5.918284,3,4.953719
2.821198,3,4.979824
3.619269,3,5.004105
5.631647,3,5.026818
2.713688,3,5.049923
5.185871,3,5.0741
5.509815,3,5.097996
0.4217,3,5.119736
6.782959,3,5.145655
3.015102,3,5.168609
4.104788,3,5.191249
2.620192,3,5.214619
3.519633,3,5.236398
2.17639,3,5.259823
3.300202,3,5.284307
2.399748,3,5.304297
1.478805,3,5.329696
2.949533,3,5.354282
-0.655214,3,5.375756
1.604145,3,5.404217
6.73908,3,5.425838
5.060803,3,5.451183
0.365434,3,5.477731
2.940415,3,5.503745
7.54009,3,5.528145
0.605745,3,5.550157
0.322891,3,5.574285
7.496375,3,5.596406
2.656731,3,5.620942
-0.531917,3,5.64406
1.452738,3,5.670909
7.026792,3,5.694407
1.606829,3,5.716518
2.905912,3,5.738288
3.303319,3,5.760528
4.351397,3,5.784285
0.97303,3,5.805868
2.362188,3,5.829711
6.506925,3,5.851437
3.782288,3,5.873582
3.687926,3,5.902077
0.193953,3,5.922822
0.121213,3,5.947062
2.213902,3,5.970209
5.181923,3,5.993227
2.706396,3,6.017351
6.999657,3,6.042427
2.001871,3,6.066796
6.039171,3,6.090443
4.38155,3,6.11439
2.179733,3,6.137833
9.272453,3,6.166167
3.140249,3,6.191124
2.52377,3,6.214174
1.801238,3,6.237979
8.687953,3,6.260613
3.722592,3,6.284108
2.549872,3,6.306657
2.585823,3,6.335319
2.637343,3,6.3643
1.222933,3,6.384861
2.933141,3,6.407398
2.473537,3,6.435921
8.596295,3,6.461289
3.96451,3,6.483465
4.261487,3,6.505506
3.567139,3,6.531247
4.514802,3,6.556045
1.519923,3,6.580044
2.764089,3,6.601218
1.947588,3,6.622752
4.379673,3,6.6445
4.375106,3,6.671423
1.544532,3,6.694066
5.079116,3,6.716529
4.611082,3,6.738023
