#{"t_start": 1648243441.2564151, "env_id": "HopperBulletEnv-v0"}
r,l,t
13.097797,11,2.959679
18.33333,10,2.98528
20.090919,9,3.008062
27.65175,22,3.065328
19.319486,10,3.093167
26.245166,17,3.134771
18.500869,7,3.15438
15.178231,13,3.188275
15.143691,15,3.226711
20.022295,7,3.244804
15.034146,9,3.266701
15.497235,9,3.287815
20.98658,19,3.336547
17.654852,6,3.349879
16.898236,10,3.374192
22.844653,13,3.406163
22.626406,14,3.443712
21.88073,17,3.486752
20.073219,11,3.513194
18.67511,7,3.528948
23.775612,10,3.556506
19.638806,7,3.576939
18.698478,10,3.601102
20.218609,10,3.628211
17.811465,11,3.658471
22.789323,13,3.692343
21.159597,11,3.719292
21.062367,14,3.753773
19.227992,16,3.793844
19.657095,14,3.828393
17.325356,15,3.864343
23.020089,15,3.899985
16.317109,8,3.919791
21.93133,14,3.957109
20.876289,10,3.981819
